"uuid","genus","specificepithet","locality","country","stateprovince","county","datecollected","longitude","latitude","flags"
"0dcdd230-4f43-4ce3-9c9a-0bbb2673a73c","leopardus","pardalis","rancho buena vista iii, rancho el cebú","mexico","chiapas","la concordia","1999-08-26","-93.0933333","15.8230556","[""idigbio_georeference""]"
"be35ca3f-3873-4d4b-b888-9416ae1a2261","leopardus","pardalis","palenque","mexico","chiapas","palenque","1946-03-03","-91.9819444","17.5088889","[""idigbio_georeference""]"
"d0cc39d0-cff5-4fe7-aadd-822fb8efcdd2","leopardus","pardalis","comunidad lacandona bethel","mexico","chiapas","ocosingo","2000-05-01","-91.0633333","16.7063889","[""idigbio_georeference""]"
"1d0cc21d-2abf-4bea-abe2-8d885650597f","leopardus","pardalis","32.5 km nne xpujil","mexico","campeche","calakmul","1994-06-17","-89.375","18.7916666","[""idigbio_georeference""]"
"a8f3d7de-dc5a-48ab-bd5b-fac18be4fb33","leopardus","pardalis","1.5 km sw ruinas de bonampak, orillas rio lacanjá","mexico","chiapas","ocosingo","1987-11-07","-91.0652778","16.7088889","[""idigbio_georeference""]"
"67cef8b6-98ee-4061-b307-2ff37ca0ae79","leopardus","pardalis","rancho el ramonal - felipe carrillo puerto","mexico","quintana roo","isla mujeres","1988-09-04","-87.7833333","19.6166667","[""idigbio_georeference""]"
"a9a39f77-f59f-451b-904f-6e4e0f7436af","leopardus","pardalis","cercanías de felipe carrillo puerto","mexico","quintana roo","felipe carrillo puerto","1984-02-26","-88.0452777","19.5786111","[""idigbio_georeference""]"
"bea28c9d-3fb4-4b33-8afe-94ab70d23112","leopardus","pardalis","ruinas kohunlich, 52 km. wsw chetumal","mexico","quintana roo","chetumal","1987-07-01","-88.3083333","18.5083333","[""idigbio_georeference""]"
"80c9258c-383f-4c38-a158-7433903ac8df","leopardus","pardalis","xpujil","mexico","campeche","calakmul","1981-04-17","-89.395","18.5052777","[""idigbio_georeference""]"
"415ae890-2b58-4174-929a-12664a378a8c","leopardus","pardalis","nuevo bécal, ejido, 12 km al ne","mexico","campeche","hopelchen","1990-11-19","-89.2230556","18.6872222","[""idigbio_georeference""]"
"b0aecc94-2862-4da6-9a78-1b3cd7ea188d","leopardus","pardalis","8 km nw ruinas de bonampak","mexico","chiapas","ocosingo","1984-11-20","-91.1625","16.8125","[""idigbio_georeference""]"
"eda1fc7c-238a-49de-ad3b-68f55c98ee8f","leopardus","pardalis","xalapa-enríquez","mexico","veracruz de ignacio de la llave","xalapa","1984-10-20","-96.9275","19.54","[""idigbio_georeference""]"
"40035f62-deb9-4139-8c0e-9a98faa03159","leopardus","pardalis","5 km ejido del rio chajul","mexico","chiapas","ocosingo","1985-04-11","-90.970242","16.141339","[""geolocate_georeference""]"
"2ce83a0c-5bac-4cd7-896b-be95c2f02410","leopardus","pardalis","5 km ejido del rio chajul","mexico","chiapas","ocosingo","1985-04-11","-90.960457","16.164752","[""geolocate_georeference""]"
"83205a7b-8cf0-4976-bf94-90ba241b8504","leopardus","pardalis","delegación sedue","mexico","campeche","no disponible","1986-09-02","-89.763306","18.909731","[""geolocate_georeference""]"
