locality,country,stateprovince,county,latitude,longitude,correction status,precision,error polygon,multiple results,uuid
"eagle, tok river",united states,alaska,,63.363611,-142.841111,no,Low(39),,"63.363611,-142.841111,TOK RIVER|Unavailable|Unavailable|Low(39),0,0,RIVER|Unavailable|Unavailable|Low(35),64.788056,-141.2,EAGLE|Unavailable|Unavailable|Low(35),63.336667,-142.985556,TOK|Unavailable|Unavailable|Low(33)",00014495-4b1b-467b-889d-a44fa9999704
between clearwater creek and little tok river,united states,alaska,,63.083333,-143.366667,no,Medium(61),,"63.083333,-143.366667,(g1)Little Tok River|Unavailable|Unavailable|Medium(61),63.018056,-142.555556,CLEARWATER CREEK|Unavailable|Unavailable|Low(46),63.150556,-143.199722,CLEARWATER CREEK|Unavailable|Unavailable|Low(46),63.732222,-154.883889,CLEARWATER CREEK|Unavailable|Unavailable|Low(46),63.411667,-150.97,CLEARWATER CREEK|Unavailable|Unavailable|Low(46),62.199167,-151.607778,CLEARWATER CREEK|Unavailable|Unavailable|Low(46),62.898611,-147.129444,CLEARWATER CREEK|Unavailable|Unavailable|Low(46),64.101667,-145.559167,CLEARWATER CREEK|Unavailable|Unavailable|Low(46),59.818333,-153.286667,CLEARWATER CREEK|Unavailable|Unavailable|Low(46),63.086111,-143.344722,LITTLE TOK RIVER|Unavailable|Unavailable|Low(46),63.363611,-142.841111,TOK RIVER|Unavailable|Unavailable|Low(39),0,0,RIVER|Unavailable|Unavailable|Low(35),63.336667,-142.985556,TOK|Unavailable|Unavailable|Low(33),68.383333,-145.683333,WATER CREEK|Unavailable|Unavailable|Low(28)",0007a352-b64c-443d-9c75-f01353cb9fdb
kenai,united states,alaska,,60.554444,-151.258333,no,High(81),,"60.554444,-151.258333,KENAI|AK:ppl:643@PPL|Unavailable|High(81)",000ded77-23e2-4e8a-82fe-252024090ab7
copper river,united states,alaska,,60.388611,-144.960833,no,High(87),,"60.388611,-144.960833,COPPER RIVER|Unavailable|Unavailable|High(87),59.526944,-154.518333,COPPER RIVER|Unavailable|Unavailable|High(87),62.607572,-144.563747,(g1)Copper River|Unavailable|Unavailable|Medium(57),0,0,RIVER|Unavailable|Unavailable|Low(35)",0010dd2c-9187-4b90-b4a6-22dd3f270f42
bowden,canada,alberta,,51.916667,-114.033333,no,High(81),,"51.916667,-114.033333,BOWDEN|Unavailable|Unavailable|High(81)",00541e57-1dde-4d38-91a2-11345ae0e70c
goose bay,united states,alaska,,55.3875,-132.48,no,High(84),,"55.3875,-132.48,GOOSE BAY|Unavailable|Unavailable|High(84),61.381667,-149.868611,GOOSE BAY|Unavailable|Unavailable|High(84),61.375,-149.525,GOOSE BAY|Unavailable|Unavailable|High(84),60.7175,-148.227222,GOOSE BAY|Unavailable|Unavailable|High(84)",0081d797-fca5-45ee-b428-70d7fda59e91
stuarts lake,canada,british columbia,,43.900556,-64.854722,no,High(87),,"43.900556,-64.854722,STUARTS LAKE|Unavailable|Unavailable|High(87),44.76979,-77.88318,LAKE|Unavailable|Unavailable|Low(34),44.716667,-77.760556,LAKE|Unavailable|Unavailable|Low(34)",009f4988-f047-4e49-b40f-a0013a684d47
rampart,united states,alaska,,65.505,-150.17,no,High(82),,"65.505,-150.17,RAMPART|Unavailable|Unavailable|High(82)",00b12390-e1c8-45ba-b678-32ad49c8a446
fort simpson,canada,northwest territories,mackenzie district,61.85,-121.333333,no,High(88),,"61.85,-121.333333,FORT SIMPSON|CAN:muni:159@PPL|Unavailable|High(88),61.85,-121.333333,SIMPSON|Unavailable|Unavailable|Low(37)",00bc65eb-c935-49d7-a4e0-9e4b6c954cfe
sheep mountain,united states,alaska,,61.680556,-144.128333,no,High(89),,"61.680556,-144.128333,SHEEP MOUNTAIN|Unavailable|Unavailable|High(89),58.293333,-134.300833,SHEEP MOUNTAIN|Unavailable|Unavailable|High(89),61.834444,-147.509722,SHEEP MOUNTAIN|Unavailable|Unavailable|High(89),60.34,-149.268889,SHEEP MOUNTAIN|Unavailable|Unavailable|High(89),68.310833,-162.931389,SHEEP MOUNTAIN|Unavailable|Unavailable|High(89)",00c074b4-bfa3-4a14-9487-3402a26097f9
