"uuid","flags","longitude","latitude"
"d01bea6d-fbd6-4f7b-9fbc-2e4eb0281a61","[""idigbio_georeference""]","-142.7054444444","63.3743888889"
"000ded77-23e2-4e8a-82fe-252024090ab7","[""geolocate_georeference""]","-151.258333","60.554444"
"00541e57-1dde-4d38-91a2-11345ae0e70c","[""geolocate_georeference""]","-114.033333","51.916667"
"002a03cd-8f4f-485f-921a-2abfdd7b6739","[""idigbio_georeference""]","-147.5","65.16"
"007a9e83-0859-4d2a-a643-c12b709882fb","[""idigbio_georeference""]","-143.2944436111","62.6957633333"
"014a9791-6bea-4b52-9125-19f1c8784da6","[""idigbio_georeference""]","-141.8166666667","62.2833333333"
"01b07148-692e-4160-8f93-fa743d6953c5","[""idigbio_georeference""]","-81.7833333","48.3333333"
"0160dad6-ac71-41de-ba18-17dabd66c771","[""geolocate_georeference""]","-149.2975","65.088333"
"01ec438f-183a-4336-87d0-37094cd79717","[""geolocate_georeference""]","-153.814167","63.377222"
"02546cc9-a79f-4abc-a758-8cfa91da6366","[""geolocate_georeference""]","-147.275125","66.422057"
"026e68f5-20ab-439a-a1d3-e1c71429a087","[""geolocate_georeference""]","-145.392778","62.220833"
"0203b795-cd15-4138-8f67-49ffd8389f5a","[""idigbio_georeference""]","-146.0186","62.3552"
"02164cfb-d7c3-4541-9d02-c5ac216a087e","[""idigbio_georeference""]","-122.45154179188891","59.03321608479912"
"02444834-d9ae-4bd8-ac4c-5d07930b78d1","[""idigbio_georeference""]","-148.53","64.78"
"02730d7f-8299-42be-995a-60a4b87bdcf1","[""idigbio_georeference""]","-145.5","64.1333333333"
"02cf1ec3-04cb-4182-9ca8-bfb3098a155c","[""idigbio_georeference""]","-83.5188","48.86231"
"03611d55-9f19-4d06-af23-33a85c59f4c1","[""idigbio_georeference""]","-147.49633940488548","61.812019390484934"
"0358b636-3749-4bd8-a12c-e1c2c87e1173","[""idigbio_georeference""]","-147.88","65.15"
"03184d79-d03f-4d26-af8f-26a684da1a07","[""geolocate_georeference""]","-150.95987","63.52491"
"032b5525-5b3d-40e4-a51d-6f743b2eb351","[""geolocate_georeference""]","-116.874968","46.940768"
"d027f2c9-5d8d-48d6-9da2-e9fa43d9818d","[""idigbio_georeference""]","-144.8833333333","62.9666666667"
"039d944e-94ec-4299-8b8a-b41ed7e39953","[""geolocate_georeference""]","-165.245556","64.820278"
"0415b123-a0fd-45df-85a8-e66b39c9cf9d","[""idigbio_georeference""]","-83.5666667","49.3833333"
"04377e0a-cbe3-4e4c-95af-36f1a5d314cd","[""idigbio_georeference""]","-150.8655555556","60.4919444444"
"04477a23-7590-4c33-a7d5-e22b90d96099","[""idigbio_georeference""]","-144.58","63.78"
"048496d2-7252-4f98-9a6f-e71cffe18eb0","[""idigbio_georeference""]","-144.94","61.73"
"04d06d5d-aec7-438f-b33a-208e87772b7b","[""idigbio_georeference""]","-147.9229","64.8844"
"04fedb70-6182-4be5-a56e-c786ebdc095e","[""idigbio_georeference""]","-143.91","63.56"
"052f32b6-0b18-4912-ab56-fd40177b562f","[""geolocate_georeference""]","-111.872739","43.507218"
"05503f5a-3739-4a6a-8bf8-b8e36240f440","[""geolocate_georeference""]","-143.8","67.366667"
"05e404ef-a1e7-4af0-8592-ec10ab64951e","[""idigbio_georeference""]","-83.1833333","49.65"
"0626e445-952b-4abc-ab20-7778741941c6","[""idigbio_georeference""]","-145.1333333333","63.1166666667"
"059a66b4-cba3-4e42-8da3-2c37014bd16f","[""geolocate_georeference""]","-148.027778","64.339722"
"06689905-f5f6-4597-a187-0d028fcf80d7","[""geolocate_georeference""]","-118.166667","52.75"
"d0354989-b939-477e-a081-b05eb02fd02a","[""idigbio_georeference""]","-151.55","63.8666666667"
"06ff6b52-9ce4-488b-930d-d9e2609c21ee","[""geolocate_georeference""]","-145.403611","61.495"
"06ca3add-7c07-4991-9c64-e1b6de727c47","[""idigbio_georeference""]","-143.38","63.38"
"073ef7f1-8aed-493d-b7e9-62997bd29a07","[""idigbio_georeference""]","-147.3573694444","64.3609166667"
"07a63f3f-5e4e-4acf-9f0a-4698bd2e28d5","[""idigbio_georeference""]","-81.9166667","47.3666667"
"07dd7051-bca0-46e4-b1ea-d49590e2d5e4","[""idigbio_georeference""]","-81.1","47.3666667"
"071d4cfc-426d-4b7f-b6bd-3a769b7d1ed2","[""geolocate_georeference""]","-148.791389","64.7575"
"073e58e5-b2f2-42f1-9d31-47c6c376fe18","[""geolocate_georeference""]","-147.773056","66.291667"
"076fd65c-e03b-4c4a-9cc4-d4008c4c75c5","[""geolocate_georeference""]","-115.683333","54.133333"
"07e32be7-f46c-44a2-b570-d226189694c1","[""geolocate_georeference""]","-145.732222","64.037778"
"0840583e-c71a-44b3-b205-5e2c89372625","[""geolocate_georeference""]","-115.599579","46.140184"
"085a66c5-c601-4a9b-a4a5-41bd925c9377","[""geolocate_georeference""]","-117.65","61.366667"
"08199046-bf95-4ac2-9557-0a147408fa20","[""idigbio_georeference""]","-142","62.1166666667"
"088d141c-6b41-4310-8c0f-40df4e83c300","[""idigbio_georeference""]","-147.55","66.15"
"08f6081c-a523-4a75-89cd-30271ff86550","[""idigbio_georeference""]","-151.73583","68.14333"
"09853c3c-2ef0-429a-a8be-1741d719ad03","[""idigbio_georeference""]","-146.0413888889","61.8797222222"
"09f720d2-47ad-4813-885d-8568f2f182ad","[""geolocate_georeference""]","-143.344722","63.086111"
"0ad4261a-79f5-4091-9512-70f6d5f70d9e","[""geolocate_georeference""]","-86.966667","49.716667"
"0a254b7d-065e-490e-a934-988810cc350f","[""idigbio_georeference""]","-141","64.83"
