"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover"
"a9a39f77-f59f-451b-904f-6e4e0f7436af","leopardus","pardalis","-88.0452777","19.5786111","15","257","1241","2"
"bea28c9d-3fb4-4b33-8afe-94ab70d23112","leopardus","pardalis","-88.3083333","18.5083333","10","261","1349","1"
"80c9258c-383f-4c38-a158-7433903ac8df","leopardus","pardalis","-89.395","18.5052777","256","244","1067","2"
"415ae890-2b58-4174-929a-12664a378a8c","leopardus","pardalis","-89.2230556","18.6872222","220","246","1171","10"
"b0aecc94-2862-4da6-9a78-1b3cd7ea188d","leopardus","pardalis","-91.1625","16.8125","355","239","2304","2"
"2ce83a0c-5bac-4cd7-896b-be95c2f02410","leopardus","pardalis","-90.960457","16.164752","175","249","2576","2"
"83205a7b-8cf0-4976-bf94-90ba241b8504","leopardus","pardalis","-89.763306","18.909731","167","253","947","2"
"fb7d2a58-bfd7-47d2-b9d3-2a72a3808a3f","leopardus","pardalis","-93.1","16.7269444","741","232","1306","8"
"78924791-b6af-4d11-bc68-d852ed399c38","leopardus","pardalis","-105.05000000000001","19.5","73","260","919","12"
"1ddc0749-30f2-452f-aeb3-ec0a1165fc76","leopardus","pardalis","-103.93417","19.31528","599","237","847","8"
"2ace0e80-4bba-4ab2-95bf-fff04469c34e","leopardus","pardalis","-82.95596","9.01666","1406","183","3143","2"
"a689860b-7fc8-438e-a207-24d3a377decb","leopardus","pardalis","-88.6944444","18.3958333","34","258","1185","12"
"e00cd0d8-b7ec-4196-b0a8-8f2a634eb217","leopardus","pardalis","-90.19034","16.53044","124","249","1884","2"
"9a9d9533-9c67-4afd-aa31-21bcaa1ffabc","leopardus","pardalis","-97.734","26.248","15","237","645","14"
"ac22cbb9-fc2b-4b88-972f-c55ea3d15fa5","felis","pardalis","-105.142644","21.720925","27","262","1401","9"
"53c35c56-2998-43a2-94d1-67d3d7902ebc","leopardus","pardalis","-89.07139","17.22881","125","252","1776","12"
"31123a1e-eab5-45d5-b4c7-51b5b7e3f23c","leopardus","pardalis","-117.0744292","33.745855","579","176","381","6"
"5dcd418b-80ac-4d50-a1c0-12347ca69ba6","leopardus","pardalis","-105.0391666","19.4947222","85","260","951","12"
"d0554088-153e-4680-8559-f6a1ef0dad21","leopardus","pardalis","-59.8","-22.4","131","247","937","9"
"ea860b1e-bef0-407d-8d22-523e9866ba1b","leopardus","pardalis","-63.678593","-21.576582","987","196","793","8"
"188d2104-1522-48e4-92d8-a40eef8312f4","leopardus","pardalis","-65.613098","3.233347","169","250","2976","2"
"f0e0fcac-930d-4ff4-996f-b1083daeada2","leopardus","pardalis","-74.833333","-10.416667","257","258","2317","2"
"a9bbadac-e324-4b39-8c4c-8d980292b5db","leopardus","pardalis","-63.729187","10.026597","558","235","1315","2"
"422d0dbe-b116-4e18-afea-b97e0dcb65f9","leopardus","pardalis","-85.613588","11.218207","47","265","1500","12"
"0793a3aa-8ab3-4258-8407-9a8873ac571b","leopardus","pardalis","-75.563591","5.980726","2122","161","2467","2"
"dafb9f74-e59d-47e6-80c7-d9d0334af660","leopardus","pardalis","-59.333333","-18.6","182","255","1044","2"
"3e60be0e-1330-43d4-ae2c-93b43c48cdef","felis","pardalis","-79.3833","0.4667","79","248","1842","2"
"4b4c6591-d55b-46fe-a477-0ae2d26faaba","felis","pardalis","-80.4167","-1.5667","123","232","778","14"
"b201e55e-e7b1-4b48-9861-ab2d41070560","felis","pardalis","-79.24207","0.70455","173","244","1746","12"
"2eb9afa8-9cab-4f6c-93df-1a5a64fef905","leopardus","pardalis","-80","9.15","33","264","2544","2"
"304d0897-1b23-4ed5-ba8b-21e076ee65ba","felis","pardalis","-80.333","-1.483","131","233","974","12"
"5dd252fb-cb9a-45c1-8e28-2965cb6b9b90","leopardus","pardalis","-90.675556","13.996667","9","276","1901","12"
"46c814d2-0e2c-4b23-ba6a-dbf7947222c1","leopardus","pardalis","-67.25","0.066667","89","248","2670","17"
"db71116a-67c1-4b07-8f57-368daa95033a","leopardus","pardalis","-99.541585","24.402146","471","233","902","5"
"aef95565-8ae3-4262-99d0-6657b83fb32a","leopardus","pardalis","-77.734384","8.109913","14","259","2839","12"
"c4eb6995-220f-4fbd-aafc-c9a1ba82deda","leopardus","pardalis","-108.133333","24.933333","0","246","532","17"
