"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover"
"00f386da-d712-4988-b6b2-5bec6b1c74dd","lynx","canadensis","-142.85","63.36","490","-19","224","1"
"01982560-f634-4e57-9ccc-2aa17a528d6e","lynx","canadensis","-155.546389","64.101944","186","-16","374","5"
"0203b795-cd15-4138-8f67-49ffd8389f5a","lynx","canadensis","-146.0186","62.3552","644","-13","343","17"
"02164cfb-d7c3-4541-9d02-c5ac216a087e","lynx","canadensis","-122.45154179188891","59.03321608479912","293","9","400","5"
"02730d7f-8299-42be-995a-60a4b87bdcf1","lynx","canadensis","-145.5","64.1333333333","319","-8","359","1"
"03611d55-9f19-4d06-af23-33a85c59f4c1","lynx","canadensis","-147.49633940488548","61.812019390484934","843","-28","489","7"
"0358b636-3749-4bd8-a12c-e1c2c87e1173","lynx","canadensis","-147.88","65.15","270","-25","296","7"
"027f1f25-eb6d-4f28-89c1-f4f9b3273f82","lynx","canadensis","-148.710052","65.446537","140","-23","279","5"
"02ec4157-b27a-4abb-92fe-b1b90359ad8b","lynx","canadensis","-138.383333","61.033333","800","-15","293","17"
"030acfc9-d33a-4262-ba70-15d0f929b488","lynx","canadensis","-147.166667","64.333333","290","-9","343","5"
"032b5525-5b3d-40e4-a51d-6f743b2eb351","lynx","canadensis","-116.874968","46.940768","798","92","582","4"
"032c289c-62b2-4fca-a63a-0623c29d5a5d","lynx","canadensis","-147.415556","64.852778","141","-11","329","5"
"0415b123-a0fd-45df-85a8-e66b39c9cf9d","lynx","canadensis","-83.5666667","49.3833333","279","18","792","5"
"04377e0a-cbe3-4e4c-95af-36f1a5d314cd","lynx","canadensis","-150.8655555556","60.4919444444","37","39","415","5"
"04477a23-7590-4c33-a7d5-e22b90d96099","lynx","canadensis","-144.58","63.78","389","-13","374","1"
"04d06d5d-aec7-438f-b33a-208e87772b7b","lynx","canadensis","-147.9229","64.8844","179","-14","292","1"
"04fedb70-6182-4be5-a56e-c786ebdc095e","lynx","canadensis","-143.91","63.56","573","-23","350","1"
"03b552b2-18e0-4a32-afdf-79b02357324b","lynx","canadensis","-151.960278","65.160556","61","-18","316","6"
"06083ccc-add8-4ec1-8250-aeb1fecbf53b","lynx","canadensis","-145.7333333333","64.0375","349","-9","356","5"
"0626e445-952b-4abc-ab20-7778741941c6","lynx","canadensis","-145.1333333333","63.1166666667","1325","-54","670","7"
"052f32b6-0b18-4912-ab56-fd40177b562f","lynx","canadensis","-111.872739","43.507218","1598","77","375","10"
"062e4ed9-9c4e-4b8d-bb93-63a7f12b6281","lynx","canadensis","-141.937222","62.860597","526","-16","259","7"
"06689905-f5f6-4597-a187-0d028fcf80d7","lynx","canadensis","-118.166667","52.75","2294","-36","503","7"
"073ef7f1-8aed-493d-b7e9-62997bd29a07","lynx","canadensis","-147.3573694444","64.3609166667","259","-8","307","5"
"07a63f3f-5e4e-4acf-9f0a-4698bd2e28d5","lynx","canadensis","-81.9166667","47.3666667","401","30","769","5"
"06d5ca13-85e5-4c3f-8727-1278220ab9c0","lynx","canadensis","-113.5","53.55","663","34","454","13"
"06ff6b52-9ce4-488b-930d-d9e2609c21ee","lynx","canadensis","-145.403611","61.495","842","-20","423","7"
"08199046-bf95-4ac2-9557-0a147408fa20","lynx","canadensis","-142","62.1166666667","1402","-55","445","7"
"09853c3c-2ef0-429a-a8be-1741d719ad03","lynx","canadensis","-146.0413888889","61.8797222222","603","-12","390","7"
"0840583e-c71a-44b3-b205-5e2c89372625","lynx","canadensis","-115.599579","46.140184","535","117","596","1"
"08520f0b-f4f7-401c-9e49-70adfe74e0be","lynx","canadensis","-119.944242","49.025224","2110","0","443","1"
"08cfa256-e82b-44b4-8caa-52143281129e","lynx","canadensis","-146.249198","63.90823","524","-17","401","7"
"0a254b7d-065e-490e-a934-988810cc350f","lynx","canadensis","-141","64.83","416","-24","292","1"
"0b5521bf-78c1-4154-98b2-3eee9a4a8327","lynx","canadensis","-145.785","62.4274","637","-12","352","17"
"0b77376e-55dd-4195-80f2-a8396ea47e38","lynx","canadensis","-81.7666667","48.35","323","23","775","5"
"0b9424a4-a287-448e-9d2f-02fec389d96d","lynx","canadensis","-97.41065619603948","48.4121885928562","252","45","486","12"
"09cfaf0a-8e8e-4c3f-9e03-02680bfeb172","lynx","canadensis","-150.509899","60.864804","52","37","428","5"
"0bef719e-4049-4d01-87ca-a511418938fa","lynx","canadensis","-60.233242","55.460711","91","-19","917","16"
"0c1bc607-ac3e-41c1-8dd0-be951f4203d6","lynx","canadensis","-150.527468","60.722792","82","36","438","5"
"0cdb8b0c-3106-440a-9534-06f621b2e478","lynx","canadensis","-147.781984","64.556751","150","-6","322","1"
"0d6daeeb-bd13-4187-8561-34ad0ccb5859","lynx","canadensis","-146.541057","62.052361","677","-18","343","7"
"0e32c9fa-6756-4a5d-b57c-cc4bb8983aae","lynx","canadensis","-144.97","66.62","134","-33","172","7"
"0e9d2c52-9c3e-4a9a-abdb-00271d6f0c56","lynx","canadensis","-141.2","64.78806","283","-17","271","1"
"0e1bd307-496b-4202-a745-ab7dc509dd67","lynx","canadensis","-146.348333","61.130833","25","33","1606","7"
"0e3cb3c0-5e5d-4cc1-8ebb-b94a56dbc977","lynx","canadensis","-118.479458","48.752113","1841","18","566","1"
"0e91f346-5dc8-48f0-bc89-b39f5e45e0c4","lynx","canadensis","-98","49.5","264","36","516","14"
"0f556ebb-40bf-4f23-9a7f-ab2a74d13d5d","lynx","canadensis","-148.4658","64.7814","127","-10","321","5"
"0fe45d60-8ff5-4951-9f2b-1342e40612f1","lynx","canadensis","-82.97773258010568","49.385319579102664","243","19","780","5"
"10caadfd-b5d6-489f-9dda-5b341f96c065","lynx","canadensis","-147.8833333333","65.15","271","-25","298","7"
"109b7a57-f57d-4797-963e-46b4b2273b33","lynx","canadensis","-83.4","47.833333","431","25","769","5"
"118e61cd-ac91-42af-b6d2-ae80ed581664","lynx","canadensis","-156.83","66","61","-32","370","6"
"11970018-bfb7-46c5-a191-adde27b4eee2","lynx","canadensis","-146.048","62.1162","629","-13","362","7"
"12020e4e-6e30-454d-8d17-09c6c84ec981","lynx","canadensis","-148","65","456","-32","389","1"
"1150ae04-6816-468e-b88c-e3e79bb19042","lynx","canadensis","-142.69","63.380833","492","-20","230","7"
"1371fed9-c049-42c3-a41f-045c9c845e4c","lynx","canadensis","-90.84450011638955","49.3396843231331","464","21","748","1"
"130998d1-e5f9-45a4-8f0c-37a1de575cb9","lynx","canadensis","-147.67","65.074167","187","-19","306","1"
"1377bca5-fa2c-4f78-8f9f-6930329ce185","lynx","canadensis","-110.547429","43.786606","2073","46","611","1"
"1429afd5-0670-43f7-9f6e-8d7683163635","lynx","canadensis","-161.947222","59.290556","0","10","630","17"
"14ef8a96-338b-4599-8977-0f19b255b2e2","lynx","canadensis","-146.7009008333","64.6155266667","352","-17","336","5"
