"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover"
"520b7e16-6c5f-4249-9ba5-bc4f54804ee1","panthera","onca","-93.6972222","16.0455556","75","271","1281","5"
"84a72194-0b78-4cc7-a50f-9e156ff46f3e","panthera","onca","-90.5316667","19.8422222","6","266","1097","13"
"0fd0aea0-7fa4-4d83-a558-ec88b100c329","panthera","onca","-93.1","16.7269444","741","232","1306","8"
"84de9a61-0901-407b-ab24-c6ddd979a1b7","panthera","onca","-91.05","16.55","263","244","2477","2"
"3303cf39-3e98-4fd0-be44-ecbe4086c92f","panthera","onca","-89.0580556","18.0716667","169","249","1407","2"
"034f195e-d344-49d2-887a-e7cbd4137ffc","panthera","onca","-100.1844444","17.4597222","1882","167","1524","12"
"0f68313c-efb2-404c-ae14-8c888f12dcb8","panthera","onca","-89.3733333","18.8036111","262","245","1176","2"
"02c654b6-a245-48d2-96e3-51b639c43890","panthera","onca","-93.61992","16.996013","937","213","2255","2"
"60807ddd-108f-4f68-8a16-99baf97e2e95","panthera","onca","-105.365093","19.839867","6","262","880","2"
"0c9e9dcd-afb5-4b8b-99ca-30ff130aa1b8","panthera","onca","-108.69464044233644","26.902984615965437","407","224","681","4"
"7e1c6b4e-f8dc-47b2-a812-4f3d965adf32","panthera","onca","-65.68333","-16.58333","259","255","3568","2"
"e0784fa1-a685-4380-a0bc-75023c219b57","panthera","onca","-97.89851055141814","23.7873242316116","12","245","776","12"
"e1071092-b81c-4c71-b550-2d39e9269fa3","panthera","onca","-92.07","16.9097222","847","220","1468","1"
"74b05101-964a-4369-8152-eb9d1d47a79d","panthera","onca","-110.75556","31.423326","1590","160","545","1"
"9286adce-3f0f-4017-9dc1-8c506cc1acfe","panthera","onca","-96.9375","16.0433333333","739","238","960","12"
"3e385ce3-c86f-4533-a2fa-e60c6c26dc05","panthera","onca","-110.865633","31.340262000000003","1161","188","376","10"
"97f0a604-84d3-4128-ba09-6d3f9f3aa5b3","panthera","onca","-90.0716666","18.16","175","251","1142","2"
"0b7d86e0-25d0-4a4c-b633-85b47be9013e","panthera","onca","-65.233333","2.8","141","253","2651","17"
"4ceb6df3-a1f2-44fc-bf06-c4137c0d30c6","panthera","onca","-59.31607","2.91687","145","259","1419","9"
"362a2931-8aee-49b2-860b-7589eaa99fa1","panthera","onca","-57.788807","-16.908315","107","260","1176","14"
"728a47ec-2947-417a-9733-cd0ab2213eb8","panthera","onca","-57.751842","-16.734548","107","260","1162","17"
"cec68a02-0a32-4b81-8bc6-6f3edc23458d","panthera","onca","-59.29954","2.83333","139","259","1453","9"
"5fb839bb-5f25-49fe-9c3b-20a465770068","panthera","onca","-74.5833359","-3.3333333","134","247","2784","2"
"50204d26-382a-4e03-827a-bb1daa8f7e10","panthera","onca","-62.85","-20.96667","449","232","704","8"
"039f87d2-55ad-46b9-8a70-a5bfa4327c52","panthera","onca","-59.29509","3.37118","123","262","1235","2"
"2cea2981-fc09-4ec5-80d4-2f8edc2e9619","panthera","onca","-79.3833","0.4667","79","248","1842","2"
"705e8af9-8dc4-40aa-9ea0-9e480813e85d","panthera","onca","-62.796785","-13.013595","163","250","1774","17"
"c7c66f6f-52a0-411c-bb2a-460818e87bfe","panthera","onca","-61.010271","2.06659","83","263","1757","2"
"a93653f8-79d5-4913-84df-15d638cf53ae","panthera","onca","-105.533333","22.166667","0","257","1215","17"
"8db29bf0-59c9-4a85-84d4-16fa973933b7","panthera","onca","-75.114273","-6.790246","132","258","1878","2"
"c27e1b4d-eda3-4f3a-80b4-abcec24a33b3","panthera","onca","-110.576139","28.17308","98","241","417","8"
"f1003878-2ed9-47c0-8c27-bceef6c25f78","panthera","onca","-88.65","17.666667","10","260","1675","2"
"83fbb99e-d341-4853-8940-09f08db73da1","panthera","onca","-73.253828","-3.749125","96","251","2991","17"
"b28a0b0d-cf18-4ce8-99b8-c40f26c1b0d4","panthera","onca","-52.141","-1.779365","35","262","2470","2"
"96bcc181-57f6-4e11-89c8-c47fe1b9e120","panthera","onca","-56.966667","-17.633333","104","261","1162","9"
"7d1b1a5c-e425-465a-b852-5dfc85fc4eea","panthera","onca","-76.9666672","-6.0500002","869","223","1298","2"
"7c58fbf2-81e2-4d1f-a2b0-cd3f0e24ba0d","panthera","onca","-75.25","-9.8833332","321","255","2165","2"
"dc777a71-6621-442a-a699-ec4e56db0340","panthera","onca","-79.6126","-0.27558","226","239","2146","14"
"f321939c-5633-4dfe-b5df-711d8d5c410e","panthera","onca","-78.457","0.30768","3062","103","1418","7"
"500f0048-2c8c-4fac-9c49-ab6f30a22caf","panthera","onca","-88.317","16.8","8","262","2352","12"
"54a042a4-fc1d-4ce0-9e90-93b4123ee5b0","panthera","onca","-57.7000008","-16.75","110","260","1206","2"
"6043caab-222a-40fe-9611-7ffa4daade41","panthera","onca","-110.000654","33.78756","1517","148","425","8"
