"uuid","genus","specificepithet","locality","country","stateprovince","county","datecollected","longitude","latitude","flags"
"9b594dcc-ba9d-42f0-9d11-d2b6e433b168","puma","concolor","aprox. 1.3 km nw de la cima del volcán de colima","mexico","colima","colima","1995-12-25","-103.6266667","19.5294444","[""idigbio_georeference""]"
"16833e99-19da-46a1-ab59-77fc07ccd00c","puma","concolor","2 mi e dudley","united states","california","mariposa county","1916-11-08","-120.14075","37.738871","[""idigbio_georeference""]"
"5ad26953-f8aa-4eac-8583-bda32bbaad00","puma","concolor","1.5 km sw ruinas de bonampak, orillas rio lacanjá","mexico","chiapas","ocosingo","1987-11-07","-91.0652778","16.7088889","[""idigbio_georeference""]"
"5a6f88df-52f1-48b2-8424-e6d543c6c92c","puma","concolor","coxes' ranch, san bernardino mts.","united states","california","san bernardino county","1906-08-01","-117.0033443","34.1290341","[""idigbio_georeference""]"
"bea2359f-09c6-4517-bebf-bafe471f8117","puma","concolor","2 mi e dudley","united states","california","mariposa county","1916-11-08","-120.07328","37.75551","[""idigbio_georeference""]"
"5083b30b-3878-4cc0-a83c-67d83142b3fa","puma","concolor","snake range, great basin national park, near baker creek","united states","nevada","white pine county","2014-04-18","-114.21228","38.99134","[""idigbio_georeference""]"
"48d9c533-0cd1-48a4-96e6-73300f0b2757","puma","concolor","marble fork bridge, sequoia national park","united states","california","tulare county","1924-01-26","-118.78546","36.57587","[""idigbio_georeference""]"
"f585cbca-1545-459e-8c92-a95153adb7d5","puma","concolor","3 mi e zaca lake","united states","california","santa barbara county","1921-02-12","-119.9818332","34.7775233","[""idigbio_georeference""]"
"71fb5aca-6b39-44db-9c17-7fabaa1515d3","puma","concolor","lacanja-chansayab","mexico","chiapas","ocosingo","1985-09-28","-91.1625","16.8125","[""idigbio_georeference""]"
"c560abd4-0669-4b3b-9e20-095b177e02af","puma","concolor","thistle","united states","utah","utah county","1947-01-01","-111.49767","39.99257","[""idigbio_georeference""]"
"04daa008-1215-4ea8-b3fc-0203d740990d","puma","concolor","rancho la salada, 72 km. sse piedras negras","mexico","coahuila de zaragoza","guerrero","1986-07-14","-100.2769444","28.0769444","[""idigbio_georeference""]"
"789f6e72-991d-4e3a-9a33-de74a340f03e","puma","concolor","fishlake plateau,  2 mi ne tommy hollow","united states","utah","sevier county","1956-06-09","-111.45509","38.77977","[""idigbio_georeference""]"
"0ff97a06-89a1-48bf-91d3-f12aac2404a5","puma","concolor","willow creek, bull canyon ranch, 38 mi s ouray","united states","utah","uintah county","1959-08-20","-109.5642","39.60755","[""idigbio_georeference""]"
"55540c0e-7ad1-421d-8c03-fbc003d66b48","puma","concolor","monroe canyon","united states","utah","sevier county","1932-03-04","-112.07599","38.59515","[""idigbio_georeference""]"
"22116326-a432-4ca4-affb-65e875c01277","puma","concolor","8 mi sw pocatello, [bannock county]","united states","idaho","power county","1931-10-20","-112.5561","42.7894","[""idigbio_georeference""]"
"089f6389-a329-4d06-95da-309fdc1a2d72","puma","concolor","graunett canyon","united states","utah","juab county","1946-03-24","-112.68454","39.72234","[""idigbio_georeference""]"
"2929040f-749b-4814-8abd-aae7c71d73e5","puma","concolor","pine mt.","united states","california","ventura county","1926-04-14","-119.3236772","34.6433332","[""idigbio_georeference""]"
"acebcbfb-e7b0-4006-b473-3ad0a70c4813","puma","concolor","plan de ayutla, laguna san antonio, selva lacandona","mexico","chiapas","ocosingo","1984-02-24","-91.3075","16.8127778","[""idigbio_georeference""]"
"24c9550f-ef8d-43bb-ba89-43055fc7c1ca","puma","concolor","snake range, great basin national park, big wash, south fork","united states","nevada","white pine county","2000-01-01","-114.22376","38.87241","[""idigbio_georeference""]"
"8e26f75e-c27f-4fd7-9523-90d458409d78","puma","concolor","wild strawberry canyon, near junction of strawberry & red creeks","united states","utah","duchesne county","1943-01-03","-110.74014","40.12712","[""idigbio_georeference""]"
"58f447f7-b105-4b9f-9b9a-0fd442e8ac90","puma","concolor","1 mi n sunnyside, huachuca mts.","united states","arizona","cochise county","1933-01-17","-110.4044","31.4484","[""idigbio_georeference""]"
"c68eecb8-9306-4daa-a6a2-4710d5e6802c","puma","concolor","7.5 mi w wawona, yosemite national park","united states","california","mariposa county","1916-03-08","-119.70414","37.535754","[""idigbio_georeference""]"
"6f8df9b9-2282-4110-9fc1-cd7b164c5dba","puma","concolor","highway 76, 1 mi s; on hwy 79","united states","california","riverside","1978-08-07","-116.70136792562936","33.18755451730115","[""idigbio_georeference""]"
"1b8008ee-c66c-4052-97a0-fa9a94b71499","puma","concolor","steptoe creek, 10 mi se ely","united states","nevada","white pine county","1929-01-01","-114.72","39.19","[""idigbio_georeference""]"
"0b80ecf2-4958-40a3-a3d9-0f6addef3bab","puma","concolor","black gap wildlife mgt area","united states","texas","brewster","1985-12-14","-103.2446518","29.3631592","[""idigbio_georeference""]"
"36044d57-8301-4bc1-bfa4-edc7a8cd93ee","puma","concolor","x-hazil - felipe carrillo puerto","mexico","quintana roo","isla mujeres","1990-07-11","-88.0741667","19.3897222","[""idigbio_georeference""]"
"2758634d-c69a-4dd8-a4fd-cfb15e3aafdf","puma","concolor","sierra fria","mexico","aguascalientes","aguascalientes","1983-09-26","-102.783333","22.95","[""geolocate_georeference""]"
"71e709ec-27a5-4118-a751-9d588f886020","puma","concolor","chinquapin, yosemite national park","united states","california","mariposa county","1918-12-13","-119.70399","37.65191","[""idigbio_georeference""]"
"7afd0d9d-4967-46c2-bf9a-710cecbeb54a","puma","concolor","grand canyon, n rim; powell plateau","united states","arizona","coconino","1947-07-16","-112.39433536871483","36.29748102582919","[""idigbio_georeference""]"
"8bac2759-88f2-4548-891e-3cbf139c2611","puma","concolor","20 mi s williams; verde river","united states","arizona","yavapai","1917-07-27","-112.19102176326724","34.959318559172054","[""idigbio_georeference""]"
"f933a08b-5af1-4208-84a1-b841538b2419","puma","concolor","pioche","united states","nevada","lincoln","1950-06-28","-114.45221513580368","37.92968285761966","[""idigbio_georeference""]"
"708018f6-f101-4b22-ac3f-702d24fe8b39","puma","concolor","miguelito canyon, lompoc sta.","united states","california","santa barbara","1988-05-06","-120.45690199622679","34.64113964333336","[""idigbio_georeference""]"
"54abe68c-98c7-49b2-a575-f2bff12ce811","puma","concolor","south livermore, between de val canyon lake and cedar mt., mines rd., ca. mi marker 8.0","united states","california","alameda county","1987-05-17","-121.63485","37.5957","[""idigbio_georeference""]"
"dc68a475-3d13-4e7e-8ed5-a9ff8c00384b","puma","concolor","10 km e carretera 199 camino a bonampak","mexico","chiapas","ocosingo","1984-02-24","-91.0666667","16.7","[""idigbio_georeference""]"
"c7529a42-7f6d-4ce6-aa29-e71de15eb3ca","puma","concolor","n.fork cove cr.","united states","arizona","cochise","1931-01-28","-109.2314171200811","31.87289291041773","[""idigbio_georeference""]"
"0c55b045-5560-4cfd-a3a2-7913750fa66c","puma","concolor","chinquapin, yosemite national park","united states","california","mariposa county","1918-12-13","-119.702717","37.652399","[""idigbio_georeference""]"
"3f2d1e95-e6d6-4395-b2b4-cb4f17a382ce","puma","concolor","crockers","united states","california","tuolumne county","1916-01-01","-119.889133","37.809388","[""idigbio_georeference""]"
"e3d21679-6ca7-46d8-a3c7-9747946efc8c","puma","concolor","monroe","united states","utah","sevier county","1948-02-13","-112.12024","38.63075","[""idigbio_georeference""]"
"c879c33d-d253-4349-9168-91804b6b418a","puma","concolor","ward mts.","united states","nevada","white pine county","1969-06-11","-114.92028","39.10028","[""idigbio_georeference""]"
"0c401832-2768-4dc4-8a25-b9598238449c","puma","concolor","9 mi nw pocatello","united states","idaho","bannock county","1932-04-19","-112.5701","42.9636","[""idigbio_georeference""]"
"884a9bd7-2a84-407b-8170-0074c9bf3a5d","puma","concolor","rough mt.","united states","arizona","cochise","1931-06-09","-109.44081788595693","32.17478104235998","[""idigbio_georeference""]"
