"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover"
"16833e99-19da-46a1-ab59-77fc07ccd00c","puma","concolor","-120.14075","37.738871","979","134","1000","1"
"bea2359f-09c6-4517-bebf-bafe471f8117","puma","concolor","-120.07328","37.75551","884","141","823","8"
"5083b30b-3878-4cc0-a83c-67d83142b3fa","puma","concolor","-114.21228","38.99134","2195","82","211","8"
"48d9c533-0cd1-48a4-96e6-73300f0b2757","puma","concolor","-118.78546","36.57587","1631","112","782","1"
"f585cbca-1545-459e-8c92-a95153adb7d5","puma","concolor","-119.9818332","34.7775233","688","140","470","8"
"71fb5aca-6b39-44db-9c17-7fabaa1515d3","puma","concolor","-91.1625","16.8125","355","239","2304","2"
"c560abd4-0669-4b3b-9e20-095b177e02af","puma","concolor","-111.49767","39.99257","1605","97","324","1"
"789f6e72-991d-4e3a-9a33-de74a340f03e","puma","concolor","-111.45509","38.77977","2468","58","267","8"
"0ff97a06-89a1-48bf-91d3-f12aac2404a5","puma","concolor","-109.5642","39.60755","1895","90","196","7"
"8e26f75e-c27f-4fd7-9523-90d458409d78","puma","concolor","-110.74014","40.12712","1996","72","240","8"
"58f447f7-b105-4b9f-9b9a-0fd442e8ac90","puma","concolor","-110.4044","31.4484","1831","145","501","5"
"c68eecb8-9306-4daa-a6a2-4710d5e6802c","puma","concolor","-119.70414","37.535754","1479","110","922","1"
"1b8008ee-c66c-4052-97a0-fa9a94b71499","puma","concolor","-114.72","39.19","2189","82","323","7"
"0b80ecf2-4958-40a3-a3d9-0f6addef3bab","puma","concolor","-103.2446518","29.3631592","1103","194","326","7"
"36044d57-8301-4bc1-bfa4-edc7a8cd93ee","puma","concolor","-88.0741667","19.3897222","14","258","1293","2"
"2758634d-c69a-4dd8-a4fd-cfb15e3aafdf","puma","concolor","-102.783333","22.95","2209","171","406","10"
"71e709ec-27a5-4118-a751-9d588f886020","puma","concolor","-119.70399","37.65191","1854","87","1073","1"
"7afd0d9d-4967-46c2-bf9a-710cecbeb54a","puma","concolor","-112.39433536871483","36.29748102582919","2204","95","426","8"
"f933a08b-5af1-4208-84a1-b841538b2419","puma","concolor","-114.45221513580368","37.92968285761966","1901","109","371","8"
