locality,country,stateprovince,county,uuid
"borde oeste de la omega, monumento natural yaxchilán.",mexico,chiapas,ocosingo,b8b38040-0535-4a86-b9fb-e5ee94f67f3e
"borde oeste de la omega, monumento natural yaxchilán.",mexico,chiapas,ocosingo,24b08fd8-a03c-4f06-8359-6ea87231d29f
aprox. 1.3 km nw de la cima del volcán de colima,mexico,colima,colima,9b594dcc-ba9d-42f0-9d11-d2b6e433b168
2 mi e dudley,united states,california,mariposa county,16833e99-19da-46a1-ab59-77fc07ccd00c
"1.5 km sw ruinas de bonampak, orillas rio lacanjá",mexico,chiapas,ocosingo,5ad26953-f8aa-4eac-8583-bda32bbaad00
"coxes' ranch, san bernardino mts.",united states,california,san bernardino county,5a6f88df-52f1-48b2-8424-e6d543c6c92c
bicknell,united states,utah,wayne county,784d4678-a25f-47fd-ac04-7578f2e3559f
"sierra la viga, 40 km ssw monterrey",mexico,nuevo leon,monterrey,7e86da1c-6fa1-4f60-ac12-278f655c473f
"1.5 km sw ruinas de bonampak, orillas rio lacanjá",mexico,chiapas,ocosingo,bfe787d9-4998-47ee-b456-8ed5f4c767af
2 mi e dudley,united states,california,mariposa county,bea2359f-09c6-4517-bebf-bafe471f8117
"mouth of red cedar canyon, east side of deep creek mountains",united states,utah,juab county,4ad00637-d4db-4b18-bf04-21a7c541247d
"snake range, great basin national park, near baker creek",united states,nevada,white pine county,5083b30b-3878-4cc0-a83c-67d83142b3fa
"sierra la viga, 40 km ssw monterrey",mexico,nuevo leon,monterrey,a97b65b0-9d6c-4e9f-8e52-bc57b9f6aeb0
sierra fria,mexico,aguascalientes,aguascalientes,2758634d-c69a-4dd8-a4fd-cfb15e3aafdf
"marble fork bridge, sequoia national park",united states,california,tulare county,aec7dcad-5bd7-4168-b0dd-95fc69200d6f
"marble fork bridge, sequoia national park",united states,california,tulare county,48d9c533-0cd1-48a4-96e6-73300f0b2757
3 mi e zaca lake,united states,california,santa barbara county,f585cbca-1545-459e-8c92-a95153adb7d5
2.6 km se ruinas de bonampak,mexico,chiapas,ocosingo,b01d5823-2c42-4a4d-ad2c-f3a24f9bdf5b
lacanja-chansayab,mexico,chiapas,ocosingo,71fb5aca-6b39-44db-9c17-7fabaa1515d3
thistle,united states,utah,utah county,c560abd4-0669-4b3b-9e20-095b177e02af
"jack's canyon, 20 mi s duchesne",united states,utah,duchesne county,6986d08e-62f6-4e27-9500-60acbd272659
graunett canyon,united states,utah,juab county,c66b9dba-1141-49cd-874a-b40038f47af3
"1 mi n sunnyside, huachuca mts.",united states,arizona,cochise county,926c7827-3a03-4b2b-850e-b0061604322f
"rancho la salada, 72 km. sse piedras negras",mexico,coahuila de zaragoza,guerrero,04daa008-1215-4ea8-b3fc-0203d740990d
"1.5 km sw ruinas de bonampak, orillas rio lacanjá",mexico,chiapas,ocosingo,f2e32cfc-4ea5-4c7d-8176-bcac108e5001
"fishlake plateau,  2 mi ne tommy hollow",united states,utah,sevier county,789f6e72-991d-4e3a-9a33-de74a340f03e
"willow creek, bull canyon ranch, 38 mi s ouray",united states,utah,uintah county,0ff97a06-89a1-48bf-91d3-f12aac2404a5
monroe canyon,united states,utah,sevier county,55540c0e-7ad1-421d-8c03-fbc003d66b48
"8 mi sw pocatello, [bannock county]",united states,idaho,power county,22116326-a432-4ca4-affb-65e875c01277
sierra fria,mexico,aguascalientes,aguascalientes,de1c9dc6-22af-44ea-97c6-276176ecf774
graunett canyon,united states,utah,juab county,4f07c4c3-4748-47c1-b475-94bc307f06fe
graunett canyon,united states,utah,juab county,089f6389-a329-4d06-95da-309fdc1a2d72
bicknell,united states,utah,wayne county,a5993b99-af5b-4cde-8956-7c021c17b006
aprox. 2 km ne de la cima del volcán de colima,mexico,colima,colima,1f6dab74-8c4f-440e-a03f-1067eb8b2995
pine mt.,united states,california,ventura county,2929040f-749b-4814-8abd-aae7c71d73e5
"plan de ayutla, laguna san antonio, selva lacandona",mexico,chiapas,ocosingo,acebcbfb-e7b0-4006-b473-3ad0a70c4813
"snake range, great basin national park, big wash, south fork",united states,nevada,white pine county,24c9550f-ef8d-43bb-ba89-43055fc7c1ca
"west fork of hill creek, 55 mi s ouray",united states,utah,grand county,ed00cde9-998b-45ae-bcb3-ada2e31871b5
"wild strawberry canyon, near junction of strawberry & red creeks",united states,utah,duchesne county,8e26f75e-c27f-4fd7-9523-90d458409d78
"marble fork bridge, sequoia national park",united states,california,tulare county,4fa1db9b-a268-4375-9804-56ed5a149926
"1 mi n sunnyside, huachuca mts.",united states,arizona,cochise county,58f447f7-b105-4b9f-9b9a-0fd442e8ac90
no data,,,,c9f2e72b-4752-46d7-9cd3-76987bd88b9c
bicknell,united states,utah,wayne county,b8a1b3bf-22c2-4de3-a88d-ad2fa80b8f79
aprox. 2 km ne del la cima del volcán de colima,mexico,colima,colima,1f833fac-4d29-40c0-af2d-52ed8518e420
6 km nw ruinas de bonampak,mexico,chiapas,ocosingo,ff228c3a-cc83-47e2-922e-4a719ff0f7f8
"7.5 mi w wawona, yosemite national park",united states,california,mariposa county,c68eecb8-9306-4daa-a6a2-4710d5e6802c
"highway 76, 1 mi s; on hwy 79",united states,california,riverside,6f8df9b9-2282-4110-9fc1-cd7b164c5dba
goleta; tejijiuas ranch,united states,california,santa barbara,ba7fcea7-bcfb-48cb-a476-960da6010b44
"steptoe creek, 10 mi se ely",united states,nevada,white pine county,1b8008ee-c66c-4052-97a0-fa9a94b71499
black gap wildlife management area,united states,texas,brewster,17960d57-1bbb-4a41-a402-8a0457b33571
black gap wildlife mgt area,united states,texas,brewster,0b80ecf2-4958-40a3-a3d9-0f6addef3bab
black gap wildlife management area,united states,texas,brewster,1d03e00b-dc21-4424-9eea-405b05579b94
x-hazil - felipe carrillo puerto,mexico,quintana roo,isla mujeres,36044d57-8301-4bc1-bfa4-edc7a8cd93ee
"parque zoologico, reserva ecologica el zapotal",mexico,chiapas,tuxtla gutierrez,f6f28be1-e415-4416-aeb6-fe95bd01a721
head of packsaddle creek,united states,california,tulare county,9acdcb3c-7367-48fe-ae09-f5c3102c45dc
monroe,united states,utah,sevier county,1e2d82d2-a00c-4b74-b8e4-469ef66077db
"chinquapin, yosemite national park",united states,california,mariposa county,71e709ec-27a5-4118-a751-9d588f886020
"parque zoologico, reserva ecologica el zapotal",mexico,chiapas,tuxtla gutierrez,9f117de9-b24e-49ad-ab7d-fbcecbf7a5e2
san mateo mountains; pigeon canyon,united states,new mexico,socorro,39d3bbd9-087d-4586-9a26-e421bd3fbfbb
"grand canyon, n rim; powell plateau",united states,arizona,coconino,7afd0d9d-4967-46c2-bf9a-710cecbeb54a
wellington,united states,utah,carbon,2b0c0d6e-6842-4447-8720-5c76675284fd
20 mi s williams; verde river,united states,arizona,yavapai,8bac2759-88f2-4548-891e-3cbf139c2611
wellington,united states,utah,carbon,2a2be65f-a511-4319-bd52-f0b8e5dce62c
black gap wildlife management area,united states,texas,brewster,b2d614be-2daf-417d-9efd-7458ca08d36a
pioche,united states,nevada,lincoln,f933a08b-5af1-4208-84a1-b841538b2419
"9-12 mi ne libby, near top of ridge of cabinet range",united states,montana,lincoln county,85dfc359-b273-45de-83ad-1bdfcad9c272
"miguelito canyon, lompoc sta.",united states,california,santa barbara,708018f6-f101-4b22-ac3f-702d24fe8b39
"south livermore, between de val canyon lake and cedar mt., mines rd., ca. mi marker 8.0",united states,california,alameda county,54abe68c-98c7-49b2-a575-f2bff12ce811
10 km e carretera 199 camino a bonampak,mexico,chiapas,ocosingo,dc68a475-3d13-4e7e-8ed5-a9ff8c00384b
x-hazil - felipe carrillo puerto,mexico,quintana roo,isla mujeres,b37b5ef3-93c6-4454-a22a-dddf36dd69de
n.fork cove cr.,united states,arizona,cochise,c7529a42-7f6d-4ce6-aa29-e71de15eb3ca
wellington,united states,utah,carbon,678606cc-c4ec-4092-96c6-51a220efd507
"chinquapin, yosemite national park",united states,california,mariposa county,0c55b045-5560-4cfd-a3a2-7913750fa66c
crockers,united states,california,tuolumne county,3f2d1e95-e6d6-4395-b2b4-cb4f17a382ce
junction corbin creek & s.fork eel river,united states,california,lake,0cff0581-1f56-474d-a9d8-2726442a80b0
"parque zoologico, reserva ecologica el zapotal",mexico,chiapas,tuxtla gutierrez,4b9bacf5-8579-4982-bf8e-0e43767cedcc
monroe,united states,utah,sevier county,e3d21679-6ca7-46d8-a3c7-9747946efc8c
black gap game hq,united states,texas,brewster,c5e82b45-b59d-45bb-ad1b-43d817eb94cc
"parque zoologico, reserva ecologica el zapotal",mexico,chiapas,tuxtla gutierrez,658d8a5b-b801-499f-acec-8394cd68c884
ward mts.,united states,nevada,white pine county,c879c33d-d253-4349-9168-91804b6b418a
9 mi nw pocatello,united states,idaho,bannock county,0c401832-2768-4dc4-8a25-b9598238449c
rough mt.,united states,arizona,cochise,884a9bd7-2a84-407b-8170-0074c9bf3a5d
"parque zoologico, reserva ecologica el zapotal",mexico,chiapas,tuxtla gutierrez,07742448-07ec-4bba-94b5-0f65ce1b3a9b
glendora,united states,california,los angeles,452d4333-3cc1-4eee-959d-f50a84ed6184
"reimal creek, 4 mi se camp creek ranger station, e fork, bitterroot river",united states,montana,ravalli county,b3704eed-6063-48f9-8199-54e44de321e6
s base of los pinos mts.,united states,california,san diego county,f1dcbb3e-cae9-4aa2-911c-88c363f1794c
ne of parowan,united states,utah,iron county,e7fb0dec-977a-4cf1-a045-d8043be03a25
ash creek ranch,united states,arizona,graham,5769112d-3a0a-4755-846a-5faa6610c363
7 mi ne dunlap,united states,california,fresno county,56cffb94-a021-4afb-9b7d-ab998df62d73
,,,,fff35085-e643-41c2-b07a-7ef99a56d9d5
wells meadow,united states,california,inyo county,4649df83-48c9-4f74-b0dd-60e20c3868c5
ca. 5 mi e dorrington,united states,california,calaveras county,26d0b547-b3fa-43b2-b1ac-3c7415cd7618
mckenzie creek (w),united states,colorado,san miguel county,5ec494ee-bda9-446b-96d3-d4b6e033efa1
n fork tabequache,united states,colorado,montrose county,23e4234a-2ed1-44a1-b3be-1ba8a46bd051
e slope pinon ridge,united states,colorado,ouray county,a31834c4-b069-4dcd-be1e-de1980547542
albuqerque,united states,new mexico,bernalillo,74c7638a-c3c8-4b41-8bed-71e36f779843
"coal canyon, 25 mesa rd",united states,colorado,montrose county,0063683c-e70b-439d-929b-6ebe406c7cbc
"peloncillo mountains, post office canyon, 6.5 mi. s,  1 mi. e rodeo",united states,new mexico,hidalgo county,482d5f43-bf64-4721-9f48-35a8f0fa71b3
"san pedro de la sierra 6 km. s, 4.8 km. w, mulegé",mexico,baja california sur,mulege,4fe41db9-e48e-44a8-9722-8a5b4a011e0d
near femmon's meadow,united states,california,tuolumne county,db929a4a-0a7c-485d-980a-e18163d2a18d
33 mi ne green river,united states,utah,grand county,02d7959d-f53c-40e7-8e74-813dc4e4b39b
dr. pedro p. pena,paraguay,boquerón,,8300f5a1-3618-4c87-be53-f9405bc6ff26
spanish fork canyon,united states,utah,utah county,07cad12f-3264-430a-a357-de1b71db5c3f
fisher creek,united states,colorado,ouray county,73606500-c6fa-4e89-947c-03ad3095f05b
pleasant valley,united states,colorado,ouray county,6f82246b-536f-4875-b44e-59a10de1e8a2
gurley draw,united states,colorado,san miguel county,277ad874-3362-4e13-8d5f-bef4dbf84194
"dallas creek, county rd 1/24",united states,colorado,ouray county,820b0d2a-9ce0-46ad-ad77-05aecf9f2f25
near rosillos,united states,texas,brewster,e02e45f4-eee9-42f1-8b99-4ce1aaa1e9a5
w face pinon ridge,united states,colorado,ouray county,4493e4b5-8e50-498d-8e4c-9b3de8c02a38
linscott canyon,united states,colorado,montrose county,a7bdcf07-4865-4d85-afc8-e3651a529fff
s draw of dry creek basin,united states,colorado,montrose county,c72367d4-0db2-46b1-bbcd-a64648aa1b15
horsefly canyon w,united states,colorado,montrose county,a4841f1a-382e-4eac-8bf0-b603d7599a83
mckenzie creek,united states,colorado,ouray county,1722d42b-2bfe-4832-a893-d2980fc30660
sombrero peak mountain,united states,texas,brewster,42fe9dcf-35b2-4cdd-bc7b-9d654584145d
"16 kilometers west, 4.8 kilometers north of sedalia",united states,colorado,douglas county,94e1240c-d804-4418-8474-644e355e646b
"mill creek canyon, san bernardino mts.",united states,california,san bernardino county,33057a23-d1e7-4f86-8c00-9427030188d9
"john henry wash, spring valley",united states,nevada,white pine county,1015b9c3-3685-42f6-a601-e7cd498a470d
"san jacinto mountains, 5000'",united states,california,riverside county,54fbfc23-a47e-4749-a456-76c8f402dafc
"wawona, yosemite national park",united states,california,mariposa county,6eab90c8-fe10-4732-8ca7-16852bcbcdc4
8 mi ne merced on road between merced and snelling,united states,california,merced county,8497c56a-235f-4abe-8347-320c04892ccb
"5 mi w denmovin, tunawee canyon",united states,california,inyo county,5d8aac75-7a16-496e-8636-cae8f4516e5e
