locality,country,stateprovince,county,latitude,longitude,correction status,precision,error polygon,multiple results,uuid
5 km ejido del rio chajul,mexico,chiapas,ocosingo,16.141339,-90.970242,yes,Low(36),,"16.116273,-90.925438,CHAJUL|Unavailable|Unavailable|Low(36)",40035f62-deb9-4139-8c0e-9a98faa03159
"surinam, ryweg",mauritius,,,,,no,Low(37),,"-20.509722,57.505278,SURINAM|Unavailable|Unavailable|Low(37)",3c3f889c-6741-4e73-92dc-57af25c79a8f
5 km ejido del rio chajul,mexico,chiapas,ocosingo,16.164752,-90.960457,yes,Low(36),,"16.116273,-90.925438,CHAJUL|Unavailable|Unavailable|Low(36)",2ce83a0c-5bac-4cd7-896b-be95c2f02410
delegación sedue,mexico,campeche,no disponible,18.909731,-89.763306,yes,,,,83205a7b-8cf0-4976-bf94-90ba241b8504
5 km ejido del rio chajul,mexico,chiapas,ocosingo,16.153211,-91.005089,yes,Low(36),,"16.116273,-90.925438,CHAJUL|Unavailable|Unavailable|Low(36)",60d0a5fb-1a65-40c5-bfcf-4960a4bebc29
bonda,colombia,magdalena,santa marta,11.230923,-74.122587,no,High(80),,"11.230923,-74.122587,BONDA|Unavailable|Unavailable|High(80)",f70c706c-50e3-4e41-a9b8-36b0d2ae89a6
"quebrada (canyon) timboy, 30 mi n of yacuiba, in aguarague range, 2000' elev.",bolivia,tarija,gran chaco,-21.576582,-63.678593,no,High(82),,"-21.576582,-63.678593,Distance North of YACUIBA|Unavailable|Unavailable|High(82),-21.497316,-63.766667,Distance North of %AGUARAGUE%|Unavailable|Unavailable|Medium(42),-21.026434,-63.476798,Distance North of %AGUARAGUE%|Unavailable|Unavailable|Medium(42),-21.167564,-64.064856,TIMBOY|Unavailable|Unavailable|Low(36),-21.833333,-64.45,TIMBOY|Unavailable|Unavailable|Low(36),-21.552868,-63.570631,TIMBOY|Unavailable|Unavailable|Low(36),-21.6,-63.716667,TIMBOY|Unavailable|Unavailable|Low(36)",ea860b1e-bef0-407d-8d22-523e9866ba1b
"mount duida, la laja, orinoco river",venezuela,amazonas,atabapo,3.233347,-65.613098,yes,Low(37),,"10.566667,-72.45,LA LAJA|Unavailable|Unavailable|Low(37),7.252778,-62.098889,LA LAJA|Unavailable|Unavailable|Low(37),6.05,-61.483333,LA LAJA|Unavailable|Unavailable|Low(37),7.552968,-72.276914,LA LAJA|Unavailable|Unavailable|Low(37),7.971667,-62.405,LA LAJA|Unavailable|Unavailable|Low(37),7.683333,-62.933333,LA LAJA|Unavailable|Unavailable|Low(37),9.358056,-70.667778,LA LAJA|Unavailable|Unavailable|Low(37),6.5,-63.083333,LA LAJA|Unavailable|Unavailable|Low(37),7.510556,-65.667222,LA LAJA|Unavailable|Unavailable|Low(37),5.15,-61.166667,LA LAJA|Unavailable|Unavailable|Low(37),10.206753,-63.892924,ORINOCO|Unavailable|Unavailable|Low(37),10.217013,-70.046962,LA LAJA|Unavailable|Unavailable|Low(37),10.91399,-64.028264,ORINOCO|Unavailable|Unavailable|Low(37),8.088367,-72.216003,LA LAJA|Unavailable|Unavailable|Low(37),9.350852,-70.667609,LA LAJA|Unavailable|Unavailable|Low(37),8.007861,-72.328849,LA LAJA|Unavailable|Unavailable|Low(37),7.885148,-72.181389,LA LAJA|Unavailable|Unavailable|Low(37),7.80008,-72.260033,LA LAJA|Unavailable|Unavailable|Low(37),10.175358,-63.744391,LA LAJA|Unavailable|Unavailable|Low(37),7.765033,-71.581324,LA LAJA|Unavailable|Unavailable|Low(37)",188d2104-1522-48e4-92d8-a40eef8312f4
"mount duida, esmeralda",venezuela,amazonas,atabapo,3.166667,-65.55,no,Low(39),,"3.166667,-65.55,ESMERALDA|Unavailable|Unavailable|Low(39)",e1dad7eb-e97f-46c5-9d68-446dbc80607d
bonda,colombia,magdalena,santa marta,11.230923,-74.122587,no,High(80),,"11.230923,-74.122587,BONDA|Unavailable|Unavailable|High(80)",17d6b0da-0422-4cbb-878f-d35502da9373
