locality,country,stateprovince,county,latitude,longitude,correction status,precision,error polygon,multiple results,uuid
5 km ejido del rio chajul,mexico,chiapas,ocosingo,,,,,,,40035f62-deb9-4139-8c0e-9a98faa03159
"surinam, ryweg",mauritius,,,,,,,,,3c3f889c-6741-4e73-92dc-57af25c79a8f
5 km ejido del rio chajul,mexico,chiapas,ocosingo,,,,,,,2ce83a0c-5bac-4cd7-896b-be95c2f02410
delegación sedue,mexico,campeche,no disponible,,,,,,,83205a7b-8cf0-4976-bf94-90ba241b8504
5 km ejido del rio chajul,mexico,chiapas,ocosingo,,,,,,,60d0a5fb-1a65-40c5-bfcf-4960a4bebc29
bonda,colombia,magdalena,santa marta,,,,,,,f70c706c-50e3-4e41-a9b8-36b0d2ae89a6
"quebrada (canyon) timboy, 30 mi n of yacuiba, in aguarague range, 2000' elev.",bolivia,tarija,gran chaco,,,,,,,ea860b1e-bef0-407d-8d22-523e9866ba1b
"mount duida, la laja, orinoco river",venezuela,amazonas,atabapo,,,,,,,188d2104-1522-48e4-92d8-a40eef8312f4
"mount duida, esmeralda",venezuela,amazonas,atabapo,,,,,,,e1dad7eb-e97f-46c5-9d68-446dbc80607d
bonda,colombia,magdalena,santa marta,,,,,,,17d6b0da-0422-4cbb-878f-d35502da9373
nevati mission,peru,pasco,oxapampa,,,,,,,f0e0fcac-930d-4ff4-996f-b1083daeada2
maripa,venezuela,bolivar,sucre,,,,,,,a9bbadac-e324-4b39-8c4c-8d980292b5db
"aroa, bolivar railroad",venezuela,aragua,mario briceno iragorry,,,,,,,3013d866-d024-43e9-aa5d-5ed6727e353e
"madeira river, auara igarape",brazil,amazonas,borba,,,,,,,403111dd-822a-4b8f-a571-02f9c8a0c481
penas blancas,nicaragua,rivas,tola,,,,,,,422d0dbe-b116-4e18-afea-b97e0dcb65f9
la gloria,mexico,oaxaca,juchitan,,,,,,,52216a02-4554-4360-ab6c-b3f3444a2deb
buena vista,bolivia,santa cruz,ichilo,,,,,,,64c7561d-2b12-4487-b319-eb7edf09c18b
"alto san miguel, 30 kilometers south of medellin, headwaters of medellin river",colombia,antioquia,caldas,,,,,,,0793a3aa-8ab3-4258-8407-9a8873ac571b
buena vista,bolivia,santa cruz,ichilo,,,,,,,dafb9f74-e59d-47e6-80c7-d9d0334af660
tapajos river,brazil,para,igarape mirim,,,,,,,b0a8f589-f404-43be-a115-a9a6b413749d
cherangangi hills,kenya,,,,,,,,,4fbb915c-7221-4e3a-93ed-9c92ea5d77e4
buena vista,bolivia,santa cruz,ichilo,,,,,,,5af8a21f-db78-48d3-9b05-0d1a8166767b
finca el cipres,guatemala,escuintla,tiquisate,,,,,,,5dd252fb-cb9a-45c1-8e28-2965cb6b9b90
"umarituba, negro river, caiary - vaupes, tatu",brazil,amazonas,sao gabriel do cachoeira,,,,,,,46c814d2-0e2c-4b23-ba6a-dbf7947222c1
san jose,mexico,tamaulipas,,,,,,,,db71116a-67c1-4b07-8f57-368daa95033a
tocantins river,brazil,para,baiao,,,,,,,ad9b2ea3-7b97-4d65-ad88-63c8d5b9beca
el real,panama,darien,pinogana,,,,,,,aef95565-8ae3-4262-99d0-6657b83fb32a
hacienda island,mexico,sinaloa,escuinapa,,,,,,,bdf67cd7-0b0f-4ccf-83cd-32fcc6cf6080
canelos,ecuador,pastaza,pastaza,,,,,,,0c3d3be5-bf35-40f5-bf7a-9f73ecfc042d
bonda,colombia,magdalena,santa marta,,,,,,,a15b8270-b8e2-49d2-b105-a47fbaea75a3
salina garrapatera,mexico,oaxaca,tehuantepec,,,,,,,c4eb6995-220f-4fbd-aafc-c9a1ba82deda
"madeira river, auara igarape",brazil,amazonas,borba,,,,,,,8ebb6338-8dad-430d-9cbc-ac01f77a06bc
"santiago river mouth, at mid maranon river",peru,loreto,alto amazonas,,,,,,,e5634812-849e-442e-b234-92e393af4778
hacienda island,mexico,sinaloa,escuinapa,,,,,,,88407e65-2087-4f45-b109-16163c973621
several km. s. of confluence of rio de la passion and rio salinas. near shore campsite along rio salinas.,guatemala,petén,,,,,,,,174d6052-3468-4a3c-97e4-8b9f10cc7b70
tocantins river,brazil,para,mocajuba,,,,,,,1246ddba-70a0-4fd6-b31a-4ce406f4f04f
cherangangi hills,kenya,,,,,,,,,446d0bc8-aafa-4e3b-909e-a9d34836feb8
hacienda island,mexico,sinaloa,escuinapa,,,,,,,8813c1eb-4ca2-43e3-82d0-43352a779960
tocantins river,brazil,para,baiao,,,,,,,521cb4b8-b24f-44d5-bd52-c92a09492e22
buena vista,bolivia,santa cruz,ichilo,,,,,,,84b9d00f-2063-4980-94f6-4fbddcbc0da8
los limones,mexico,sinaloa,san ignacio,,,,,,,e27e534d-49dd-4316-b184-c07576e521f7
hacienda island,mexico,sinaloa,escuinapa,,,,,,,5541c45d-c0fd-4cb0-8c33-35c7578e4e85
tocantins river,brazil,para,mocajuba,,,,,,,92df0a9a-a973-4c23-b68d-c2439769e450
"rosarinho, sampaio lake, madeira river",brazil,amazonas,manicore,,,,,,,dfff3925-f5d1-4fb3-9d6c-d14bc796c346
elgeyo forest,kenya,,,,,,,,,1a806da0-1c35-493a-a06c-b9439e229d2d
"tegucigalpa, archaga",honduras,francisco morazan,distrito central,,,,,,,b26d74e0-ede8-4349-a248-bbfbf949b446
"tapanti, orosi",costa rica,cartago,paraiso,,,,,,,ea81d75a-686f-44fa-af8c-ae27756e904d
iquitos,peru,loreto,maynas,,,,,,,e3b69502-8e65-4620-a01b-19b700ced839
finca el espino,guatemala,suchitepequez,mazatenango,,,,,,,3bf9fa8c-e57b-4c4f-b06c-49c40a84e74b
"tegucigalpa, la cueva archaga",honduras,francisco morazan,distrito central,,,,,,,7f4d0b1a-70e9-4aae-bdb8-94ce08417d27
caparo,trinidad and tobago,trinidad,caroni county,,,,,,,c0bb5d5d-4a23-4f81-9c9b-3ea67d8d4d13
"lagarto, upper ucayali river",peru,loreto,requena,,,,,,,9ea2ebe8-5dac-4f1f-b6a2-40acaea6f67a
"rio tapajos, tauary",brazil,,,,,,,,,13ee467a-490f-46b4-b9fc-6838e12a782c
guacharaca,ecuador,esmeraldas,,,,,,,,9cf36782-2621-4723-b156-03797138f6df
bandeiro de melo,brazil,bahia,,,,,,,,62e322c4-dd8e-48a9-b0d7-b66fc0a45847
"santa rosa, upper ucayali river",peru,loreto,requena,,,,,,,aa23cf7d-f00c-4292-a711-c7fbe675381e
descalvados,brazil,mato grosso,caceres,,,,,,,99b86d0f-ae76-41f8-8082-e8cf4c0a5bc1
iquitos,peru,loreto,maynas,,,,,,,8576f5c3-f943-438f-9d31-2f5e7a01ac7a
coco river,nicaragua,region autonomista atlantico norte,,,,,,,,b00036bf-0418-4e49-b995-09e7a822fe4c
