locality,country,stateprovince,county,latitude,longitude,correction status,precision,error polygon,multiple results,uuid
"sierra la viga, 40 km ssw monterrey",mexico,nuevo leon,monterrey,25.341607,-100.471682,no,High(84),,"32.15791,-117.186638,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),17.839067,-93.422574,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),25.69989,-98.237008,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),28.883365,-110.924804,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),28.550016,-111.507635,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),16.585158,-93.385721,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),25.341607,-100.471682,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),15.727238,-93.513201,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),25.156032,-103.779716,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),21.982552,-98.458699,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),17.703285,-92.119788,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),20.315491,-98.304237,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),18.064784,-91.263723,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),25.333208,-107.603207,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),17.549587,-93.728569,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),25.333208,-107.68654,Distance SSW of MONTERREY|Unavailable|Unavailable|High(84),19.069592,-104.212263,LA VIGA|Unavailable|Unavailable|Low(37),27.9,-106.866667,LA VIGA|Unavailable|Unavailable|Low(37),27.560507,-101.223652,LA VIGA|Unavailable|Unavailable|Low(37),26.552034,-99.88437,LA VIGA|Unavailable|Unavailable|Low(37),26.767625,-101.472541,LA VIGA|Unavailable|Unavailable|Low(37),19.156085,-104.466715,LA VIGA|Unavailable|Unavailable|Low(37),21.122494,-89.72807,SIERRA|Unavailable|Unavailable|Low(36),14.866667,-92.283333,SIERRA|Unavailable|Unavailable|Low(36),21.616667,-100.55,VIGA|Unavailable|Unavailable|Low(34),25.766667,-99.116667,VIGA|Unavailable|Unavailable|Low(34),22.760868,-99.979445,VIGA|Unavailable|Unavailable|Low(34)",7e86da1c-6fa1-4f60-ac12-278f655c473f
sierra fria,mexico,aguascalientes,aguascalientes,22.95,-102.783333,no,High(86),,"22.95,-102.783333,SIERRA FRIA|Unavailable|Unavailable|High(86)",2758634d-c69a-4dd8-a4fd-cfb15e3aafdf
sombrero peak mountain,united states,texas,brewster,29.49214,-103.323787,no,Low(43),,"29.49214,-103.323787,SOMBRERO PEAK|Unavailable|Unavailable|Low(43)",42fe9dcf-35b2-4cdd-bc7b-9d654584145d
"san jacinto mountains, 5000'",united states,california,riverside county,33.814463,-116.679183,no,Low(51),,"33.814463,-116.679183,SAN JACINTO MOUNTAINS|Unavailable|Unavailable|Low(51),33.783908,-116.958635,SAN JACINTO|CA:ppl:2458@PPL|Unavailable|Low(42)",54fbfc23-a47e-4749-a456-76c8f402dafc
cove cr.falls,united states,arizona,cochise,36.565278,-109.217879,no,Low(34),,"36.565278,-109.217879,COVE|Unavailable|Unavailable|Low(34)",57501e2b-60f5-4540-ba19-930b714c392e
la candela,colombia,huila,san agustin,1.863141,-76.360536,no,High(85),,"1.863141,-76.360536,LA CANDELA|Unavailable|Unavailable|High(85)",4193a2d1-6bd6-438c-a1ee-2fe3850ec6c0
sebastian,united states,florida,brevard,27.816415,-80.470608,no,High(85),,"27.816415,-80.470608,SEBASTIAN|FL:ppl:3953@PPL|Unavailable|High(85),27.816796,-80.4677,(g1)Sebastian|Unavailable|Unavailable|Medium(54)",fd901cd6-1b86-4fc5-8903-f1e2e79f173f
estancia laguna pora de la colonia fernheim,paraguay,presidente hayes,,-22.333333,-59.433333,no,Low(50),,"-22.333333,-59.433333,ESTANCIA LAGUNA PORA|Unavailable|Unavailable|Low(50),-22.933333,-58.466667,LAGUNA PORA|Unavailable|Unavailable|Low(41)",df696e8f-d01e-4cd4-81b1-f93355452392
"hwy. 89, near old station",united states,california,shasta county,40.675161,-121.43081,no,Medium(56),,"40.675161,-121.43081,Near OLD STATION|Unavailable|Unavailable|Medium(56)",13bd1bd5-e308-481c-9646-5edc9d196f73
rancho sisquoa; long canyon,united states,california,santa barbara,34.858591,-120.2771,no,Low(41),,"34.858591,-120.2771,LONG CANYON|Unavailable|Unavailable|Low(41),34.583874,-120.38377,LONG CANYON|Unavailable|Unavailable|Low(41),34.860536,-120.175151,LONG CANYON|Unavailable|Unavailable|Low(41)",822a1ad2-57ae-4b0a-b96a-24ed2bde4a28
2 mi s of w end long valley,united states,california,lake county,38.731466,-122.60304,no,Medium(44),,"38.731466,-122.60304,Distance South of %LONG VALLEY%|Unavailable|Unavailable|Medium(44),39.037568,-122.601928,Distance South of %LONG VALLEY%|Unavailable|Unavailable|Medium(44)",715af79b-5315-4cee-b6a3-d7b3cf1ac8c7
