locality,country,stateprovince,county,latitude,longitude,correction status,precision,error polygon,multiple results,uuid
"37 km nw ocozocoautla, selva del ocote",mexico,chiapas,ocozocoautla de espinosa,,,,,,,02c654b6-a245-48d2-96e3-51b639c43890
17 km ssw pijijiapan.,mexico,chiapas,pijijiapan,,,,,,,63d2876a-0018-4d58-8ac4-4740f4abc4d0
17 km ssw pijijiapan.,mexico,chiapas,pijijiapan,,,,,,,5164985d-09a0-4380-9333-f64138efdbd5
17 km ssw pijijiapan.,mexico,chiapas,pijijiapan,,,,,,,346c1dd0-3a59-489f-a630-916dee8b8be9
potreros cercanos a tomatlán,mexico,jalisco,tomatlan,,,,,,,60807ddd-108f-4f68-8a16-99baf97e2e95
delegación sedue,mexico,campeche,no disponible,,,,,,,c4f6f0b4-4330-4c0d-b226-54ba6d389344
10 km ne playa careytos,mexico,jalisco,la huerta,,,,,,,c707ac88-c83c-41c5-8f36-422e78d3044d
"madeira river, auara igarape",brazil,amazonas,borba,,,,,,,2261c39f-d9cb-466c-8eb8-436f1fa3f426
mouth of ocamo river,venezuela,amazonas,atures,,,,,,,0b7d86e0-25d0-4a4c-b633-85b47be9013e
"mategua, itenez river",bolivia,beni,itenez,,,,,,,705e8af9-8dc4-40aa-9ea0-9e480813e85d
"mamore river, near cascajal",bolivia,beni,mamore,,,,,,,aaf47f52-b474-4423-8772-8ed7fd881edf
"branco river, surumu river",brazil,roraima,flexal,,,,,,,c7c66f6f-52a0-411c-bb2a-460818e87bfe
agua brava lagoon,mexico,sinaloa,escuinapa,,,,,,,a93653f8-79d5-4913-84df-15d638cf53ae
"sarayacu, ucayali river",peru,loreto,ucayali,,,,,,,8db29bf0-59c9-4a85-84d4-16fa973933b7
"25 miles northeast of guaymas, box canyon, moreno station",mexico,sonora,guaymas,,,,,,,7ad8599a-d541-4f21-be3e-ea56d15955e3
"ca. 15 kilometers west of san javier, mamore river",bolivia,beni,cercado,,,,,,,73a1ff32-1bcd-44ac-a79f-f9c0b3947e61
"25 miles northeast of guaymas, box canyon, moreno station",mexico,sonora,guaymas,,,,,,,c27e1b4d-eda3-4f3a-80b4-abcec24a33b3
finca catas,colombia,córdoba,ayapel,,,,,,,0dee6d31-bd93-4ad5-8c9d-70c6f7a5f3a3
"ca. 15 kilometers above la horquilla, machupo river",bolivia,beni,mamore,,,,,,,df4109fd-aa9b-458d-8bd3-0af6b839899e
iquitos,peru,loreto,maynas,,,,,,,54c026d0-6667-4bba-85f5-1dad4e895052
new river lagoon,belize,orange walk district,hill bank,,,,,,,f1003878-2ed9-47c0-8c27-bceef6c25f78
"san marcos region, 20 kilometers",colombia,sucre,san marcos,,,,,,,aeff5ffa-9198-470a-b72e-4c06f94a1c5d
iquitos,peru,loreto,maynas,,,,,,,83fbb99e-d341-4853-8940-09f08db73da1
"villarinho de monte, xingu river",brazil,para,porto de moz,,,,,,,b28a0b0d-cf18-4ce8-99b8-c40f26c1b0d4
"fazenda alegre, paraguai river",brazil,mato grosso do sul,anastacio,,,,,,,96bcc181-57f6-4e11-89c8-c47fe1b9e120
iquitos,peru,loreto,maynas,,,,,,,2186926c-8bd6-4ab5-b095-94192cbb62c1
3 miles north of gomez farias,mexico,tamaulipas,gomez farias,,,,,,,16b26cb3-64d0-46f1-afbf-b0df64e485ea
"fazenda alegre, paraguai river",brazil,mato grosso do sul,anastacio,,,,,,,c521154a-8296-4be5-9d3e-9e6b495d064b
marismas nacionales,mexico,nayarit,san blas,,,,,,,87100b2b-9999-4eda-9186-e35b30603052
iquitos,peru,loreto,maynas,,,,,,,59ce72c4-7d51-402a-b16e-26f813a12bb8
iquitos,peru,loreto,maynas,,,,,,,4822d900-c350-48c9-9c08-51141fd34890
uluce,nicaragua,matagalpa,san ramon,,,,,,,e450cae6-4596-46de-a956-8787013c554c
iquitos,peru,loreto,maynas,,,,,,,e49e9b8b-7b4e-4b24-b67b-b801c1e5eda6
chichen itza,mexico,yucatán,,,,,,,,59183b70-5a88-43aa-a58a-fbf5410af5fb
"cibecue, near",united states,arizona,navajo county,,,,,,,5928fa68-db6a-40cf-af17-b7f053b31712
iquitos,peru,loreto,maynas,,,,,,,448f84a6-5a46-45a5-9d18-0e66c638a2b4
"25 mi nw tuxpan, nayarit, mexico",mexico,nayarit,,,,,,,,5b41c13e-c832-40de-9bbe-4fd7794eacc5
peten?,guatemala,,,,,,,,,dfd00f19-199f-4252-88fc-c9494135183a
iquitos,peru,loreto,maynas,,,,,,,972bf260-c335-49ba-81e5-7808de5e5e1f
"san marcos region, 20 kilometers",colombia,sucre,san marcos,,,,,,,8ac05719-f006-4571-b97f-dc3311251ef8
kartabo point,guyana,cuyuni - mazaruni region,,,,,,,,1a0e257c-413a-4cd9-ace7-a85359d37610
iquitos,peru,loreto,maynas,,,,,,,b29aa521-bbc5-4868-88ed-8f756d0e5783
san andres tuxla,mexico,veracruz,,,,,,,,6e7f59d9-dda4-4d9d-b5a3-d592d596228f
san blas,mexico,nayarit,,,,,,,,b5d89ff9-62af-4281-a3ad-6b51bc48c210
napo river,peru,loreto,,,,,,,,a52cb830-92b2-4ec2-9961-b1ce90e3c95e
"agate, prairie wind animal refuge, 2211 county road 150",united states,colorado,elbert county,,,,,,,83d560c0-e17f-43fe-b6e6-f57a6750f43b
la tuxpena,mexico,campeche,champoton municipality,,,,,,,f86130aa-d3bd-4720-ac27-a1d4ee247be7
"rio doce, n of",brazil,espirito santo,,,,,,,,c6f47dd7-97d2-43ce-95ce-561f4e8cd8b9
goldthwaite,united states,texas,mills county,,,,,,,7f2230cc-011f-484c-a8f2-82a4b7200d9e
"champoton, la tuxpena",mexico,campeche,champoton municipality,,,,,,,e2261975-7b76-4a5f-b924-6a280ecd069f
aguaytia river,peru,ucayali,,,,,,,,473c0f2a-e11e-4616-94df-c063ad91964d
"capivenda, 8 km ne",bolivia,,,,,,,,,d7662348-9528-433f-90c7-85cba4ce2251
"mylodon cave (cueva del milodon, eberhardt cave, cavern ultima esperanza)",chile,patagonia,,,,,,,,c31ad2aa-67dd-4cc6-9264-567fa844cce2
napo river,peru,loreto,,,,,,,,0e8b767f-8a47-45c9-9e72-661fb9fe4c5e
cenepa river mouth,peru,amazonas,,,,,,,,5257a6cb-dcbe-45ac-b7b8-d8bc3c2d1907
"champoton, la tuxpena",mexico,campeche,champoton municipality,,,,,,,81973852-01f4-4f06-b2b1-258bd5ab6609
tapaliza river,panama,darién,,,,,,,,0ba0b4ba-2056-4253-ba26-eeb53df08650
yohaltun,mexico,campeche,,,,,,,,b783426c-3189-45d0-ae21-e1e1a8e7d52c
"statione laguna el sotz, 5 mi n",guatemala,peten,,,,,,,,6cefc78c-ecd4-4803-bfc7-e5afbf46c31b
