"uuid","genus","specificepithet","locality","country","stateprovince","county","datecollected","longitude","latitude","flags"
"001dc98a-f317-4416-b501-873841ba2426","lynx","canadensis","mansfield lake","united states","alaska","","1964-01-08","-143.41","63.5","[""idigbio_georeference""]"
"007a9e83-0859-4d2a-a643-c12b709882fb","lynx","canadensis","little tok river","united states","alaska","","2003-11-01","-143.2944436111","62.6957633333","[""idigbio_georeference""]"
"00f386da-d712-4988-b6b2-5bec6b1c74dd","lynx","canadensis","tok river","united states","alaska","","1964-02-25","-142.85","63.36","[""idigbio_georeference""]"
"014a9791-6bea-4b52-9125-19f1c8784da6","lynx","canadensis","sheep creek","united states","alaska","","1999-11-01","-141.8166666667","62.2833333333","[""idigbio_georeference""]"
"015650fc-82c8-4e62-8e77-03c309f814a0","lynx","canadensis","lake minchumina","united states","alaska","","1880-01-01","-152.2110480556","63.8984547222","[""idigbio_georeference""]"
"000ded77-23e2-4e8a-82fe-252024090ab7","lynx","canadensis","kenai","united states","alaska","","","-151.258333","60.554444","[""geolocate_georeference""]"
"00541e57-1dde-4d38-91a2-11345ae0e70c","lynx","canadensis","bowden","canada","alberta","","1961-12-26","-114.033333","51.916667","[""geolocate_georeference""]"
"00f3c72e-5ebd-4fed-b129-ebd79fc87811","lynx","canadensis","mile 15 sucker river, fort yukon","united states","alaska","","1970-11-27","-145.211667","66.609167","[""geolocate_georeference""]"
"01982560-f634-4e57-9ccc-2aa17a528d6e","lynx","canadensis","tenderfoot creek","united states","alaska","","1970-01-17","-155.546389","64.101944","[""geolocate_georeference""]"
"0203b795-cd15-4138-8f67-49ffd8389f5a","lynx","canadensis","crosswind lake","united states","alaska","","","-146.0186","62.3552","[""idigbio_georeference""]"
"02164cfb-d7c3-4541-9d02-c5ac216a087e","lynx","canadensis","near fort nelson,snake river","canada","british columbia","","","-122.45154179188891","59.03321608479912","[""idigbio_georeference""]"
"02730d7f-8299-42be-995a-60a4b87bdcf1","lynx","canadensis","goodpaster flats","united states","alaska","","1964-02-15","-145.5","64.1333333333","[""idigbio_georeference""]"
"02cf1ec3-04cb-4182-9ca8-bfb3098a155c","lynx","canadensis","puskuta township","canada","ontario","algoma","1946-12-30","-83.5188","48.86231","[""idigbio_georeference""]"
"03611d55-9f19-4d06-af23-33a85c59f4c1","lynx","canadensis","sheep mountain lodge","united states","alaska","","1952-11-02","-147.49633940488548","61.812019390484934","[""idigbio_georeference""]"
"0358b636-3749-4bd8-a12c-e1c2c87e1173","lynx","canadensis","cushman creek","united states","alaska","","1998-12-05","-147.88","65.15","[""idigbio_georeference""]"
"027f1f25-eb6d-4f28-89c1-f4f9b3273f82","lynx","canadensis","brown lake","united states","alaska","","1969-12-01","-148.710052","65.446537","[""geolocate_georeference""]"
"02ec4157-b27a-4abb-92fe-b1b90359ad8b","lynx","canadensis","kluane","canada","yukon territory","","1936-02-17","-138.383333","61.033333","[""geolocate_georeference""]"
"030acfc9-d33a-4262-ba70-15d0f929b488","lynx","canadensis","mile 56 richardson highway, birch lake","united states","alaska","","1967-02-12","-147.166667","64.333333","[""geolocate_georeference""]"
"03184d79-d03f-4d26-af8f-26a684da1a07","lynx","canadensis","kantishna","united states","alaska","","1967-03-21","-150.95987","63.52491","[""geolocate_georeference""]"
"032b5525-5b3d-40e4-a51d-6f743b2eb351","lynx","canadensis","viola, 10 mi ne","united states","idaho","latah county","","-116.874968","46.940768","[""geolocate_georeference""]"
"032c289c-62b2-4fca-a63a-0623c29d5a5d","lynx","canadensis","upper little chena river","united states","alaska","","1967-11-28","-147.415556","64.852778","[""geolocate_georeference""]"
"0415b123-a0fd-45df-85a8-e66b39c9cf9d","lynx","canadensis","orkney township","canada","ontario","cochrane","1979-12-31","-83.5666667","49.3833333","[""idigbio_georeference""]"
"04377e0a-cbe3-4e4c-95af-36f1a5d314cd","lynx","canadensis","funny river","united states","alaska","","1994-03-14","-150.8655555556","60.4919444444","[""idigbio_georeference""]"
"04477a23-7590-4c33-a7d5-e22b90d96099","lynx","canadensis","george lake, mile 1385 alaska highway","united states","alaska","","1964-01-28","-144.58","63.78","[""idigbio_georeference""]"
"04d06d5d-aec7-438f-b33a-208e87772b7b","lynx","canadensis","sheep creek road","united states","alaska","","1963-12-22","-147.9229","64.8844","[""idigbio_georeference""]"
"04fedb70-6182-4be5-a56e-c786ebdc095e","lynx","canadensis","jan lake","united states","alaska","","","-143.91","63.56","[""idigbio_georeference""]"
"037d3b13-13df-482e-9acf-04bb3e54d53d","lynx","canadensis","coolin","united states","idaho","","1910-06-30","-116.849372","48.479641","[""geolocate_georeference""]"
"03b552b2-18e0-4a32-afdf-79b02357324b","lynx","canadensis","tanana river","united states","alaska","","1964-02-27","-151.960278","65.160556","[""geolocate_georeference""]"
"06083ccc-add8-4ec1-8250-aeb1fecbf53b","lynx","canadensis","delta junction","united states","alaska","","1964-02-25","-145.7333333333","64.0375","[""idigbio_georeference""]"
"0626e445-952b-4abc-ab20-7778741941c6","lynx","canadensis","robertson river","united states","alaska","","1999-02-01","-145.1333333333","63.1166666667","[""idigbio_georeference""]"
"052f32b6-0b18-4912-ab56-fd40177b562f","lynx","canadensis","hill city, 22 mi n on blue ridge mts.","united states","idaho","","1916-07-02","-111.872739","43.507218","[""geolocate_georeference""]"
"062e4ed9-9c4e-4b8d-bb93-63a7f12b6281","lynx","canadensis","7 mi s of northway, nabesna river","united states","alaska","","1964-02-14","-141.937222","62.860597","[""geolocate_georeference""]"
"0639e5f7-1ddd-4457-add8-59d0e17a8dbd","lynx","canadensis","chisholm","canada","alberta","","1961-11-24","-114.166667","54.916667","[""geolocate_georeference""]"
"06689905-f5f6-4597-a187-0d028fcf80d7","lynx","canadensis","jasper national park","canada","alberta","","1943-03-30","-118.166667","52.75","[""geolocate_georeference""]"
"073ef7f1-8aed-493d-b7e9-62997bd29a07","lynx","canadensis","blair lakes","united states","alaska","","","-147.3573694444","64.3609166667","[""idigbio_georeference""]"
"07a63f3f-5e4e-4acf-9f0a-4698bd2e28d5","lynx","canadensis","arden township","canada","ontario","sudbury","1979-11-10","-81.9166667","47.3666667","[""idigbio_georeference""]"
"06d5ca13-85e5-4c3f-8727-1278220ab9c0","lynx","canadensis","edmonton","canada","alberta","","","-113.5","53.55","[""geolocate_georeference""]"
"06ff6b52-9ce4-488b-930d-d9e2609c21ee","lynx","canadensis","bear creek, dot lake","united states","alaska","","1966-02-07","-145.403611","61.495","[""geolocate_georeference""]"
"08199046-bf95-4ac2-9557-0a147408fa20","lynx","canadensis","game management unit 13a, tolkana creek","united states","alaska","","1995-04-10","-142","62.1166666667","[""idigbio_georeference""]"
"0883a9c3-090f-41dd-90e2-7e4a5a55ca3b","lynx","canadensis","mosquito fork","united states","alaska","","2003-01-01","-141.9077777778","64.055","[""idigbio_georeference""]"
"08f6081c-a523-4a75-89cd-30271ff86550","lynx","canadensis","anaktuvuk pass","united states","alaska","","1957-01-12","-151.73583","68.14333","[""idigbio_georeference""]"
"09853c3c-2ef0-429a-a8be-1741d719ad03","lynx","canadensis","st. anne lake","united states","alaska","","1992-03-27","-146.0413888889","61.8797222222","[""idigbio_georeference""]"
"0840583e-c71a-44b3-b205-5e2c89372625","lynx","canadensis","lochsa river","united states","idaho","","1910-11-21","-115.599579","46.140184","[""geolocate_georeference""]"
"08520f0b-f4f7-401c-9e49-70adfe74e0be","lynx","canadensis","loomis, 20 mi nw","united states","washington","","1916-02-03","-119.944242","49.025224","[""geolocate_georeference""]"
"08cfa256-e82b-44b4-8caa-52143281129e","lynx","canadensis","fort greely","united states","alaska","","1965-01-09","-146.249198","63.90823","[""geolocate_georeference""]"
"0a1a50e3-452f-4f78-953a-25ffa2cd5ba3","lynx","canadensis","old woman creek","united states","alaska","","2001-01-01","-152.312222","63.882778","[""idigbio_georeference""]"
"0a254b7d-065e-490e-a934-988810cc350f","lynx","canadensis","","united states","alaska","","1957-11-01","-141","64.83","[""idigbio_georeference""]"
"0b5521bf-78c1-4154-98b2-3eee9a4a8327","lynx","canadensis","ewan lake","united states","alaska","","1966-01-01","-145.785","62.4274","[""idigbio_georeference""]"
"0b77376e-55dd-4195-80f2-a8396ea47e38","lynx","canadensis","star lake","canada","ontario","timiskaming","1949-12-29","-81.7666667","48.35","[""idigbio_georeference""]"
"0b9424a4-a287-448e-9d2f-02fec389d96d","lynx","canadensis","grafton","united states","north dakota","walsh","1963-11-05","-97.41065619603948","48.4121885928562","[""idigbio_georeference""]"
"09cfaf0a-8e8e-4c3f-9e03-02680bfeb172","lynx","canadensis","swanson creek, kenai peninsula","united states","alaska","","1907-03-01","-150.509899","60.864804","[""geolocate_georeference""]"
"0cad860a-805a-4d65-ad1d-1248911b89eb","lynx","canadensis","tazlina lake","united states","alaska","","1964-02-14","-145.3833333333","62.0333333333","[""idigbio_georeference""]"
"0bef719e-4049-4d01-87ca-a511418938fa","lynx","canadensis","hopedale","canada","newfoundland and labrador","labrador","","-60.233242","55.460711","[""geolocate_georeference""]"
"0c1b11ba-6a09-4311-b36b-7866725fc1cf","lynx","canadensis","site love","united states","alaska","","1962-12-07","-156.470466","71.385605","[""geolocate_georeference""]"
"0c1bc607-ac3e-41c1-8dd0-be951f4203d6","lynx","canadensis","birch lake","united states","alaska","","1996-12-01","-150.527468","60.722792","[""geolocate_georeference""]"
"0cdb8b0c-3106-440a-9534-06f621b2e478","lynx","canadensis","fort wainwright","united states","alaska","","1964-12-09","-147.781984","64.556751","[""geolocate_georeference""]"
"0d6daeeb-bd13-4187-8561-34ad0ccb5859","lynx","canadensis","glenn highway, near mile 163","united states","alaska","","1950-01-29","-146.541057","62.052361","[""geolocate_georeference""]"
"0e32c9fa-6756-4a5d-b57c-cc4bb8983aae","lynx","canadensis","eightmile slough","united states","alaska","","1968-02-10","-144.97","66.62","[""idigbio_georeference""]"
"0e9d2c52-9c3e-4a9a-abdb-00271d6f0c56","lynx","canadensis","eagle","united states","alaska","southeast fairbanks","1968-11-01","-141.2","64.78806","[""idigbio_georeference""]"
"0f6f5ac7-2c8f-40ec-85ca-4b98746b7e91","lynx","canadensis","mulvey township","canada","ontario","cochrane","1979-11-30","-83.3666667","49.9","[""idigbio_georeference""]"
"0e1bd307-496b-4202-a745-ab7dc509dd67","lynx","canadensis","valdez","united states","alaska","valdez-cordova","1970-03-01","-146.348333","61.130833","[""geolocate_georeference""]"
"0e3cb3c0-5e5d-4cc1-8ebb-b94a56dbc977","lynx","canadensis","10 mi n of sherman pass, ferry co., washington","united states","washington","ferry","1955-09-18","-118.479458","48.752113","[""geolocate_georeference""]"
"0e91f346-5dc8-48f0-bc89-b39f5e45e0c4","lynx","canadensis","carman","canada","manitoba","","1908-12-21","-98","49.5","[""geolocate_georeference""]"
"0f556ebb-40bf-4f23-9a7f-ab2a74d13d5d","lynx","canadensis","manley hot springs trail near ohio creek","united states","alaska","","2000-01-01","-148.4658","64.7814","[""idigbio_georeference""]"
