"uuid","flags","longitude","latitude"
"0dcdd230-4f43-4ce3-9c9a-0bbb2673a73c","[""idigbio_georeference""]","-93.0933333","15.8230556"
"be35ca3f-3873-4d4b-b888-9416ae1a2261","[""idigbio_georeference""]","-91.9819444","17.5088889"
"4bf68fa2-a2af-48db-8672-37f97e649044","[""idigbio_georeference""]","-91.0652778","16.7088889"
"ca7fab2d-1af3-434a-a553-c7faecefbeaf","[""idigbio_georeference""]","-90.5316667","19.8422222"
"d0cc39d0-cff5-4fe7-aadd-822fb8efcdd2","[""idigbio_georeference""]","-91.0633333","16.7063889"
"1d0cc21d-2abf-4bea-abe2-8d885650597f","[""idigbio_georeference""]","-89.375","18.7916666"
"67cef8b6-98ee-4061-b307-2ff37ca0ae79","[""idigbio_georeference""]","-87.7833333","19.6166667"
"a9a39f77-f59f-451b-904f-6e4e0f7436af","[""idigbio_georeference""]","-88.0452777","19.5786111"
"bea28c9d-3fb4-4b33-8afe-94ab70d23112","[""idigbio_georeference""]","-88.3083333","18.5083333"
"80c9258c-383f-4c38-a158-7433903ac8df","[""idigbio_georeference""]","-89.395","18.5052777"
"415ae890-2b58-4174-929a-12664a378a8c","[""idigbio_georeference""]","-89.2230556","18.6872222"
"47b7d3cc-0e66-47da-b62f-4369396b4861","[""idigbio_georeference""]","-91.1625","16.8125"
"eda1fc7c-238a-49de-ad3b-68f55c98ee8f","[""idigbio_georeference""]","-96.9275","19.54"
"40035f62-deb9-4139-8c0e-9a98faa03159","[""geolocate_georeference""]","-90.925438","16.116273"
"3c3f889c-6741-4e73-92dc-57af25c79a8f","[""geolocate_georeference""]","57.505278","-20.509722"
"78924791-b6af-4d11-bc68-d852ed399c38","[""idigbio_georeference""]","-105.05000000000001","19.5"
"2cd8370b-9073-4756-b91f-7abbd86889a5","[""idigbio_georeference""]","-93.1","16.7269444"
"11f91f91-5d9b-4a06-9ed0-47239d4b5164","[""idigbio_georeference""]","-98.95081272655749","24.893141114016643"
"1ddc0749-30f2-452f-aeb3-ec0a1165fc76","[""idigbio_georeference""]","-103.93417","19.31528"
"2ace0e80-4bba-4ab2-95bf-fff04469c34e","[""idigbio_georeference""]","-82.95596","9.01666"
"a689860b-7fc8-438e-a207-24d3a377decb","[""idigbio_georeference""]","-88.6944444","18.3958333"
"b84e9965-30f5-4ca6-877b-2f8284f1f55d","[""idigbio_georeference""]","-85.56667","10.21667"
