"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover","cluster"
"00010397-22e8-4386-80da-1b4fca762702","puma","concolor",-110.92583,32.22167,754,215,317,13,4
"0010630c-ec19-432a-8c5a-372468d5e49c","lynx","canadensis",-149.1166666667,64.0166666667,310,-12,302,7,1
"00170cbf-5381-4d61-8cfe-85e101517e65","puma","concolor",-108.2487166,32.88261318,2180,119,455,8,6
"001dc98a-f317-4416-b501-873841ba2426","lynx","canadensis",-143.41,63.5,474,-18,224,1,1
"002ff83d-5fb3-43b0-b390-d567c87a57ca","puma","concolor",-108.235232,33.2921,2081,119,455,8,6
"00318669-8e89-4f7c-a7fc-821394813f8d","felis","pardalis",-79.7307,0.544744,250,235,1208,14,4
"0048c521-16e5-4763-80e7-443c37f7a932","puma","concolor",-105.3903,42.1976,2015,63,394,1,5
"004fec34-b1eb-4f0c-b2ac-9d52c27cf4d2","puma","concolor",-106.4889985,33.3007011,1687,149,291,10,6
"00541e57-1dde-4d38-91a2-11345ae0e70c","lynx","canadensis",-114.033333,51.916667,980,40,493,14,6
"0063683c-e70b-439d-929b-6ebe406c7cbc","puma","concolor",-108.47036,38.32988,2100,83,437,8,6
"006e4357-f5a7-44aa-8690-5dca005e9ce9","puma","concolor",-119.875,34.5441667,273,164,529,8,4
"007a9e83-0859-4d2a-a643-c12b709882fb","lynx","canadensis",-143.2944436111,62.6957633333,1182,-47,264,5,1
"0082c073-5c97-4780-82c8-6d9cb1fa7b62","panthera","onca",-76.666667,-8.75,3787,78,3060,16,5
"00913971-0f25-4ed9-9120-03fe570db0e9","puma","concolor",-106.5669444444,32.7830555556,1687,153,283,7,6
"00a56b65-600e-4ded-965e-b3f0178e416d","puma","concolor",-108.89478,31.942869,1359,180,300,7,1
"00b35b2e-f07b-4533-a294-9cb026567bd0","puma","concolor",-100.21064,30.800086,665,187,499,14,4
"00b6fc60-8b42-4664-8df0-83686907ebc4","puma","concolor",-121.8689473,40.4354672,638,141,952,8,4
"00c0cf9d-80f1-48be-ab1f-adac6d35c6be","puma","concolor",-107.6539656,34.0420392,2152,112,338,7,6
"00c8b78b-9354-4d20-8258-a0a32c48130d","puma","concolor",-109.296183,33.63133,2614,81,535,1,5
"00e01a3c-0f83-4a34-bbbe-621f1bf39fa6","puma","concolor",-112.270482,38.171645,1853,99,180,8,6
"00f386da-d712-4988-b6b2-5bec6b1c74dd","lynx","canadensis",-142.85,63.36,490,-19,224,1,1
"00f3c72e-5ebd-4fed-b129-ebd79fc87811","lynx","canadensis",-145.211667,66.609167,128,-33,173,7,1
"0105cc23-ac16-4a4a-b4c9-700b308a596f","puma","concolor",-108.92978,31.41705,1616,164,372,10,6
"0114c4f0-2b57-4ba9-b157-55e758e5741d","panthera","onca",-105,25,1971,170,399,10,6
"012a759d-8635-4aaa-add1-87917b6a524a","puma","concolor",-116.942665,46.961838,777,93,519,10,6
"0134b02a-ed41-4486-88c5-46dfdc9ac4ef","puma","concolor",-103.2649994,30.5170002,1234,174,320,7,1
"014a9791-6bea-4b52-9125-19f1c8784da6","lynx","canadensis",-141.8166666667,62.2833333333,824,-25,266,7,1
"0152c175-7bad-4bc9-82d9-c5bebcf35e6f","leopardus","pardalis",-109.259601,27.224631,80,241,452,4,1
"015650fc-82c8-4e62-8e77-03c309f814a0","lynx","canadensis",-152.2110480556,63.8984547222,196,-9,332,17,6
"0159ac0a-cb8f-40e3-a661-8ec1c7fa022c","puma","concolor",-109.8643,34.0606,2197,105,684,1,5
"015e8a39-6203-4152-ba80-22b95bdddccd","lynx","canadensis",-150.17,65.938002,287,-38,301,1,1
"018fc240-835a-4812-baa4-8d254f19c5c8","lynx","canadensis",-141.951667,62.982222,516,-17,256,5,1
"01982560-f634-4e57-9ccc-2aa17a528d6e","lynx","canadensis",-155.546389,64.101944,186,-16,374,5,1
"01aba6fa-4f4d-4a6a-b2cc-ef001f96dd18","puma","concolor",-116.245407,44.008779,1158,96,596,10,6
